sýnis	nhee	sýni
eru	sfg3fn	vera
með	ao	með
kvikmynd	nveo	kvikmynd
í	aþ	í
bígerð	nveþ	bígerð
sem	ct	sem
byggð	sþgven	byggja
verður	sfg3en	verða
á	aþ	á
samnefndum	lkfþsf	samnefndur
þáttum	nkfþ	þáttur
.	.	.

Vinirnir	nkfng	vinur
eru	sfg3fn	vera
allir	fokfn	allur
búnir	lkfnsf	búinn
að	cn	að
skrifa	sng	skrifa
undir	ao	undir
samnings	x	samningur
þess	fahee	sá
efnis	nhee	efni
og	c	og
fær	sfg3en	fá
hvert	fohen	hver
þeirra	fahfe	sá
sem	ct	sem
samsvarar	sfg3en	samsvara
tæpum	lkeþsf	tæpur
milljarði	nkeþ	milljarður
íslenskra	lvfesf	íslenskur
króna	nvfe	króna
fyrir	ao	fyrir
vikið	nheog	vik
auk	ae	auk
prósentu	nvee	prósenta
af	aþ	af
innkomu	nveþ	innkoma
.	.	.

Kvikmyndin	nveng	kvikmynd
hefur	sfg3en	hafa
lengi	aa	lengi
legið	ssg	liggja
í	aþ	í
loftinu	nheþg	loft
.	.	.

Þegar	c	þegar
Jennifer	e	Jennifer
Aniston	e	Aniston
samþykkti	sfg3eþ	samþykkja
að	cn	að
leika	sng	leika
í	aþ	í
tíundu	lveþvf	tíundi
seríunni	nveþg	sería
,	,	,
sem	ct	sem
framleidd	sþgven	framleiða
verður	sfg3en	verða
eftir	ao	eftir
áramót	nhfo	áramót
,	,	,
var	sfg3eþ	vera
ákveðið	sþghen	ákveða
að	cn	að
slá	sng	slá
til	aa	til
.	.	.

Aniston	e	Aniston
hafði	sfg3eþ	hafa
íhugað	ssg	íhuga
að	cn	að
slíta	sng	slíta
vinskapnum	nkeþg	vinskapur
þar	aa	þar
sem	c	sem
hún	fpven	hún
vildi	sfg3eþ	vilja
sinna	sng	sinna
fjölskyldu	nveþ	fjölskylda
sinni	feveþ	sinn
.	.	.

Nokkur	fohfn	nokkur
atriðið	x	atriði
úr	aþ	úr
myndinni	nveþg	mynd
hafa	sfg3fn	hafa
þegar	c	þegar
lekið	ssg	leka
út	aa	út
,	,	,
þar	aa	þar
á	aa	á
meðal	aa	meðal
þegar	c	þegar
Joey	e	Joey
,	,	,
leikinn	sþgken	leika
af	aþ	af
Matt	e	Matt
Le	e	Le
Blanc	e	Blanc
,	,	,
berar	sfg3en	bera
bossann	nkeog	bossi
.	.	.

Samkvæmt	aþ	samkvæmt
heimildum	nvfþ	heimild
frá	aþ	frá
Hollywood	e	Hollywood
búast	sfm3fn	búa
framleiðendur	nkfn	framleiðandi
myndarinnar	nveeg	mynd
við	aþ	við
að	c	að
kvenfólk	nhen	kvenfólk
og	c	og
samkynhneigðir	lkfnsf	samkynhneigður
menn	nkfn	maður
muni	svg3fn	munu
flykkjast	snm	flykkja
á	ao	á
myndina	nveog	mynd
enda	c	enda
nýtur	sfg3en	njóta
Joey	e	Joey
gríðarlegra	lvfesf	gríðarlegur
vinsælda	nvfe	vinsæld
.	.	.

Þáttaskil	nhfn	þáttaskil
hjá	aþ	hjá
Friends	e	Friends
:	:	:
Vinir	nkfn	vinur
á	ao	á
hvíta	lheovf	hvítur
tjaldið	nheog	tjald

VINIR	nkfn	vinur
Vinirnir	nkfng	vinur
hafa	sfg3fn	hafa
allir	fokfn	allur
samþykkt	ssg	samþykkja
að	cn	að
leika	sng	leika
í	aþ	í
tíundu	lveþvf	tíundi
þáttaröðinni	nveþg	þáttaröð
.	.	.

Karlskrona	e	Karlskrona
í	aþ	í
Svíþjóð	nveþ-s	Svíþjóð
:	:	:
Drukkinn	lkensf	drukkinn
elgur	nken	elgur
ræðst	sfm3en	ráða
á	ao	á
barn	nheo	barn

Lögregla	nven	lögregla
í	aþ	í
bænum	nkeþg	bær
Karlskrona	e	Karlskrona
í	aþ	í
Svíþjóð	nveþ-s	Svíþjóð
var	sfg3eþ	vera
kölluð	sþgven	kalla
til	aa	til
þegar	c	þegar
drukkinn	lkensf	drukkinn
elgur	nken	elgur
gekk	sfg3eþ	ganga
berserksgang	nkeo	berserksgangur
í	aþ	í
íbúðahverfi	nheþ	íbúðahverfi
í	aþ	í
bænum	nkeþg	bær
.	.	.

Elgurinn	nkeng	elgur
réðst	sfm3eþ	ráða
á	ao	á
átta	tfhfe	átta
ára	nhfe	ár
dreng	nkeo	drengur
,	,	,
sem	ct	sem
var	sfg3eþ	vera
að	aþ	að
leik	nkeþ	leikur
í	aþ	í
garðinum	nkeþg	garður
heima	aa	heima
hjá	aþ	hjá
sér	fpkeþ	sig
,	,	,
en	c	en
lögreglan	nveng	lögregla
brást	sfm3eþ	bregða
skjótt	aa	skjótt
við	aa	við
og	c	og
skaut	sfg3eþ	skjóta
dýrið	nheog	dýr
.	.	.

Drengurinn	nkeng	drengur
var	sfg3eþ	vera
miður	aam	lítt
sín	fpkee	sig
af	aþ	af
hræðslu	nveþ	hræðsla
en	c	en
slapp	sfg3eþ	sleppa
með	ao	með
skrámur	nvfo	skráma
.	.	.

Elgir	nkfn	elgur
eru	sfg3fn	vera
algengir	lkfnsf	algengur
í	aþ	í
Svíþjóð	nveþ-s	Svíþjóð
og	c	og
eru	sfg3fn	vera
yfirleitt	aa	yfirleitt
feimnir	lkfnsf	feiminn
og	c	og
friðsamir	lkfnsf	friðsamur
,	,	,
en	c	en
geta	sfg3fn	geta
orðið	ssg	verða
árásargjarnir	lkfnsf	árásargjarn
eftir	ao	eftir
að	cn	að
hafa	sng	hafa
gætt	ssg	gæða
sér	fpkfþ	sig
á	aþ	á
uppáhalds	nhee	uppáhald
vetrar-	nkee	vetur
?	?	?
snakkinu	nheþg	snakk
»	»	»
sem	ct	sem
eru	sfg3fn	vera
gerjuð	lhfnsf	gerjaður
epli	nhfn	epli
.	.	.

ZETA	e	ZETA
JONES	e	JONES
Catherine	e	Catherine
Zeta	e	Zeta
Jones	e	Jones
er	sfg3en	vera
gift	lvensf	giftur
leikaranum	nkeþg	leikari
Michael	e	Michael
Douglas	e	Douglas
og	c	og
eiga	sfg3fn	eiga
þau	fphfn	það
eitt	tfheo	einn
barn	nheo	barn
saman	aa	saman
.	.	.

Annað	lhensf	annaður
barn	nhen	barn
þeirra	fphfe	það
hjóna	nhfe	hjón
kemur	sfg3en	koma
í	ao	í
heiminn	nkeog	heimur
í	aþ	í
mars	nkeþ	mars
.	.	.

Catherine	e	Catherine
Zeta	e	Zeta
Jones	e	Jones
:	:	:

Nágrannarnir	nkfng	nágranni
ævareiðir	lkfnsf	ævareiður

Leikkonan	nveng	leikkona
Catherine	e	Catherine
Zeta	e	Zeta
Jones	e	Jones
hefur	sfg3en	hafa
reitt	ssg	reiða
nágranna	nkfo	nágranni
sína	fekfo	sinn
í	aþ	í
heimabæ	nkeþ	heimabær
sínum	fekeþ	sinn
,	,	,
Swansea	e	Swansea
í	aþ	í
Wales	e	Wales
,	,	,
til	ae	til
reiði	nvee	reiði
með	aþ	með
áformum	nhfþ	áform
sínum	fehfþ	sinn
um	ao	um
að	cn	að
stækka	sng	stækka
við	ao	við
glæsivillu	nveo	glæsivilla
sína	feveo	sinn
.	.	.

Hefur	sfg3en	hafa
hún	fpven	hún
ákveðið	ssg	ákveða
að	cn	að
láta	sng	láta
byggja	sng	byggja
aukahæð	nveo	aukahæð
á	ao	á
húsið	nheog	hús
og	c	og
eru	sfg3fn	vera
framkvæmdir	nvfn	framkvæmd
þegar	c	þegar
hafnar	lvfnsf	hafinn
.	.	.

Er	sfg3en	vera
frú	nven	frú
Jones	e	Jones
ásökuð	sþgven	ásaka
af	aþ	af
nágrönnum	nkfþ	nágranni
sínum	fekfþ	sinn
um	ao	um
að	cn	að
hafa	sng	hafa
breytt	ssg	breyta
upphaflegum	lhfþsf	upphaflegur
áformum	nhfþ	áform
sínum	fehfþ	sinn
um	ao	um
hönnun	nveo	hönnun
hússins	nheeg	hús
og	c	og
að	cn	að
hafa	sng	hafa
eyðilagt	ssg	eyðileggja
um	ao	um
leið	nveo	leið
nánasta	lheove	náinn
umhverfi	nheo	umhverfi
hússins	nheeg	hús
með	aþ	með
því	fpheþ	það
að	cn	að
höggva	sng	höggva
þar	aa	þar
niður	aa	niður
aldagömul	lhfosf	aldagamall
tré	nhfo	tré
.	.	.

NÝTT	lhensf	nýr
ÁR	nhen	ár
Í	aþ	í
RÚSSLANDI	nheþ-s	Rússland
Nýja	lhenvf	nýr
árið	nheng	ár
kemur	sfg3en	koma
líka	aa	líka
í	aþ	í
Rússlandi	nheþ-s	Rússland
.	.	.

Engu	foheþ	enginn
var	sfg3eþ	vera
til	aa	til
sparað	sþghen	spara
í	aþ	í
jólaskreytingum	nvfþ	jólaskreyting
í	ao	í
ár	nheo	ár
og	c	og
voru	sfg3fþ	vera
þær	fpvfn	hún
meðal	ae	meðal
annars	fohee	annar
hengdar	sþgvfn	hengja
utan	aa	utan
á	ao	á
múra	nkfo	múr
Kremlar	e	Kremlar
.	.	.

Samkvæmt	aþ	samkvæmt
gregoríönsku	lheþsf	gregoríanskur
dagatali	nheþ	dagatal
eru	sfg3fn	vera
jólin	nhfng	jól
7.	ta	7.
janúar	nkeo	janúar
.	.	.

KÓNGAFÓLKIÐ	nheng	kóngafólk
Breska	lhenvf	breskur
dagblaðið	nheng	dagblað
The	e	The
Sunday	e	Sunday
Mirror	e	Mirror
sakaði	sfg3eþ	saka
á	ao	á
laugardag	nkeo	laugardagur
Karl	nkeo-s	Karl
Bretaprins	nkeo-s	Bretaprins
um	ao	um
hræsni	nveo	hræsni
eftir	ao	eftir
að	c	að
prinsinn	nkeng	prins
skrifaði	sfg3eþ	skrifa
undir	ao	undir
samning	nkeo	samningur
við	ao	við
þýska	lheovf	þýskur
bifreiðafyrirtækið	nheog	bifreiðafyrirtæki
Audi	e	Audi
um	ao	um
kaup	nhfo	kaup
á	aþ	á
nýjum	lkeþsf	nýr
bíl	nkeþ	bíll
.	.	.

Nokkrum	fokfþ	nokkur
dögum	nkfþ	dagur
áður	aa	áður
hafði	sfg3eþ	hafa
Karl	nken-s	Karl
hvatt	ssg	hvetja
bresku	lveovf	breskur
þjóðina	nveog	þjóð
til	ae	til
að	cn	að
kaupa	sng	kaupa
innlendar	lvfosf	innlendur
vörur	nvfo	vara
,	,	,
en	c	en
fór	sfg3eþ	fara
svo	aa	svo
sjálfur	fbken	sjálfur
og	c	og
skrifaði	sfg3eþ	skrifa
upp	aa	upp
á	ao	á
100.000	ta	100.000
punda	nhfe	pund
samning	nkeo	samningur
við	ao	við
Audi-verksmiðjuna	nveogs	Audiverksmiðja
.	.	.

Prinsinn	nkeng	prins
átti	sfg3eþ	eiga
fyrir	aa	fyrir
breska	lveosf	breskur
bifreið	nveo	bifreið
af	aþ	af
gerðinni	nveþg	gerð
Vauxhall	e	Vauxhall
.	.	.

«	«	«
Þetta	fahen	þessi
er	sfg3en	vera
grófasta	lvenve	grófur
hræsni	nven	hræsni
,	,	,
»	»	»
sagði	sfg3eþ	segja
þingmaður	nken	þingmaður
Verkamannaflokksins	nkeegs	Verkamannaflokkur
,	,	,
Tom	e	Tom
Watson	e	Watson
,	,	,
«	«	«
og	c	og
greinilegt	lhensf	greinilegur
að	c	að
meðlimir	nkfn	meðlimur
krúnunnar	nveeg	krúna
hafa	sfg3fn	hafa
engan	fokeo	enginn
áhuga	nkeo	áhugi
á	aþ	á
verkamönnum	nkfþ	verkamaður
í	aþ	í
eigin	lheþof	eigin
landi	nheþ	land
.	.	.
»	»	»

Talsmaður	nken	talsmaður
prinsins	nkeeg	prins
sagðist	sfm3eþ	segja
vita	sng	vita
til	ae	til
þess	fphee	það
að	c	að
einn	tfken	einn
lúxusbíll	nken	lúxusbíll
hefði	svg3eþ	hafa
verið	ssg	vera
keyptur	sþgken	kaupa
af	aþ	af
Audi	e	Audi
til	ae	til
að	cn	að
koma	sng	koma
í	ao	í
staðinn	nkeog	staður
fyrir	ao	fyrir
Omega-bifreið	nveo-s	Omega-bifreið
sem	ct	sem
hann	fpken	hann
sagði	sfg3eþ	segja
reyndar	aa	reyndar
ekki	aa	ekki
lengur	aam	lengi
framleidda	sþgveo	framleiða
af	aþ	af
Vauxhall	e	Vauxhall
.	.	.

Aðspurður	lkensf	aðspurður
hvort	c	hvort
rétt	lhensf	réttur
væri	svg3eþ	vera
að	c	að
sex	tfvfn	sex
bifreiðar	nvfn	bifreið
frá	aþ	frá
Audi	e	Audi
hefðu	svg3fþ	hafa
verið	ssg	vera
afhentar	sþgvfn	afhenda
konungsfjölskyldunni	nveþg	konungsfjölskylda
sagðist	sfm3eþ	segja
hann	fpken	hann
ekki	aa	ekki
hafa	sng	hafa
hugmynd	nveo	hugmynd
um	ao	um
það	fpheo	það
.	.	.

«	«	«
Ef	c	ef
svo	aa	svo
er	sfg3en	vera
geri	sfg1en	gera
ég	fp1en	ég
ráð	nheo	ráð
fyrir	aþ	fyrir
að	c	að
starfsmenn	nkfn	starfsmaður
hirðarinnar	nveeg	hirð
hafi	svg3en	hafa
persónulega	aa	persónulega
fest	ssg	festa
kaup	nhfo	kaup
á	aþ	á
þeim	fakfþ	sá
bílum	nkfþ	bíll
,	,	,
»	»	»

sagði	sfg3eþ	segja
talsmaðurinn	nkeng	talsmaður
.	.	.

Karl	nken-s	Karl
Bretaprins	nken-s	Bretaprins
:	:	:
Sakaður	sþgken	saka
um	ao	um
hræsni	nveo	hræsni

PRINSINN	nkeng	prins
Í	aþ	í
BRETLANDI	nheþ-s	Bretland
Vildi	sfg3eþ	vilja
frekar	aam	frekar
þýska	lveosf	þýskur
bifreið	nveo	bifreið
en	c	en
breska	lveosf	breskur
.	.	.

ÁRAMÓTAHEIT	nhfn	áramótaheit
Líf	nhen	líf
fólks	nhee	fólk
er	sfg3en	vera
markað	lhensf	markaður
af	aþ	af
endalausum	lhfþsf	endalaus
tímamótum	nhfþ	tímamót
og	c	og
ákveðnum	lvfþsf	ákveðinn
hefðum	nvfþ	hefð
sem	ct	sem
hafa	sfg3fn	hafa
skapast	ssm	skapa
í	aa	í
kringum	ao	kringum
þau	fphfo	það
.	.	.

Þannig	aa	þannig
er	sfg3en	vera
ekki	aa	ekki
óalgengt	lhensf	óalgengur
að	c	að
fólk	nhen	fólk
vakni	svg3en	vakna
á	ao	á
morgnana	nkfog	morgunn
og	c	og
gangi	svg3en	ganga
til	ae	til
náða	nvfe	náð
á	ao	á
kvöldin	nhfog	kvöld
,	,	,
drekki	svg3en	drekka
sig	fpheo	sig
yfirum	aa	yfira
um	ao	um
helgar	nvfo	helgi
og	c	og
millifæri	svg3en	millifæra
launin	nhfog	laun
sín	fehfo	sinn
um	ao	um
hver	fohfo	hver
mánaðamót	nhfo	mánaðamót
á	ao	á
reikninga	nkfo	reikningur
hinna	gkfe	hinn
ýmsu	fokfe	ýmis
lánadrottna	nkfe	lánadrottinn
.	.	.

Öll	fohfn	allur
þessi	fahfn	þessi
misstóru	lhfnvf	misstór
tímamót	nhfn	tímamót
springa	sfg3fn	springa
svo	aa	svo
út	aa	út
í	aþ	í
sjálfum	fbhfþ	sjálfur
áramótunum	nhfþg	áramót
og	c	og
allt	fohen	allur
er	sfg3en	vera
keyrt	sþghen	keyra
fram	aa	fram
úr	aþ	úr
hófi	nheþ	hóf
,	,	,
drykkjan	nveng	drykkja
er	sfg3en	vera
aukin	sþgven	auka
,	,	,
peningar	nkfn	peningur
eru	sfg3fn	vera
sprengdir	sþgkfn	sprengja
í	ao	í
loft	nheo	loft
upp	aa	upp
og	c	og
engum	fokeþ	enginn
málsmetandi	lkeþof	málsmetandi
Íslendingi	nkeþ-s	Íslendingur
kemur	sfg3en	koma
til	ae	til
hugar	nkee	hugur
að	cn	að
halla	sng	halla
sér	fpkeþ	sig
fyrr	aam	fyrr
en	c	en
nýr	lkensf	nýr
dagur	nken	dagur
er	sfg3en	vera
löngu	lheþsf	langur
risinn	lkensf	risinn
.	.	.

Margir	lkfnsf	margur
nota	sfg3fn	nota
þessi	fahfo	þessi
tímamót	nhfo	tímamót
einnig	aa	einnig
til	ae	til
þess	fphee	það
að	cn	að
líta	sng	líta
til	aa	til
baka	aa	baka
og	c	og
reka	sng	reka
þá	aa	þá
oft	aa	oft
augun	nhfog	auga
í	ao	í
eitthvað	foheo	einhver
sem	ct	sem
betur	aam	vel
mætti	svg3eþ	mega
fara	sng	fara
hjá	aþ	hjá
þeim	fpkfþ	hann
.	.	.

Líkamlegt	lhensf	líkamlegur
ástand	nhen	ástand
fólks	nhee	fólk
er	sfg3en	vera
því	fpheþ	það
jafnan	aa	jafnan
ofarlega	aa	ofarlega
í	aþ	í
huga	nkeþ	hugi
og	c	og
mikið	lhensf	mikill
er	sfg3en	vera
um	ao	um
heitstrengingar	nvfo	heitstrenging
tengdar	lvfosf	tengdur
bættu	lheþsf	bættur
líferni	nheþ	líferni
,	,	,
auk	ae	auk
þess	fphee	það
sem	c	sem
einhverjir	fokfn	einhver
sverja	sfg3fn	sverja
þess	fphee	það
dýran	lkeosf	dýr
eið	nkeo	eiður
að	cn	að
kaupa	sng	kaupa
ekkert	foheo	enginn
á	aþ	á
raðgreiðslum	nvfþ	raðgreiðsla
á	aþ	á
nýja	lheþvf	nýr
árinu	nheþg	ár
,	,	,
vera	sng	vera
betri	lkfnvm	góður
við	ao	við
börnin	nhfog	barn
sín	fehfo	sinn
og	c	og
fleira	lheovm	margur
í	aþ	í
þeim	fakeþ	sá
dúr	nkeþ	dúr
.	.	.

Bára	nven-s	Bára
Magnúsdóttir	nven-s	Magnúsdóttir
,	,	,
hjá	aþ	hjá
Dansrækt	nveþ-s	dansrækt
JSB	as	JSB
,	,	,
hefur	sfg3en	hafa
fylgst	ssm	fylgja
með	aþ	með
líkamlegu	lheþsf	líkamlegur
ástandi	nheþ	ástand
landans	nkeeg	landi
í	ao	í
um	aa	um
30	ta	30
ár	nhfo	ár
.	.	.

Hún	fpven	hún
segir	sfg3en	segja
alla	fokfo	allur
í	aþ	í
líkamsræktarbransanum	nkeþg	líkamsræktarbransi
finna	sng	finna
fyrir	aþ	fyrir
aukinni	lveþsf	aukinn
eftirspurn	nveþ	eftirspurn
í	aa	í
kringum	ao	kringum
áramót	nhfo	áramót
.	.	.

«	«	«
Líkamsræktin	nveng	líkamsrækt
er	sfg3en	vera
að	aþ	að
vísu	lheþsf	vís
orðin	sþgven	verða
mjög	aa	mjög
stöðug	lvensf	stöðugur
,	,	,
enda	c	enda
orðin	sþgven	verða
eðlilegur	lkensf	eðlilegur
þáttur	nken	þáttur
í	aþ	í
lífi	nheþ	líf
flestra	lkfese	margur
.	.	.

Það	fphen	það
breytir	sfg3en	breyta
því	fpheþ	það
þó	aa	þó
ekki	aa	ekki
að	c	að
það	fphen	það
koma	sfg3fn	koma
alltaf	aa	alltaf
ákveðnir	lkfnsf	ákveðinn
toppar	nkfn	toppur
á	ao	á
haustin	nhfog	haust
og	c	og
í	aþ	í
janúar	nkeþ	janúar
.	.	.
»	»	»

Bára	nven-s	Bára
segir	sfg3en	segja
þessi	fahfo	þessi
yfirflóð	nhfo	yfirflóð
ekki	aa	ekki
vara	sng	vara
lengi	aa	lengi
og	c	og
þeir	fakfn	sá
sem	ct	sem
ákveði	svg3fn	ákveða
það	fpheo	það
nánast	aae	náið
upp	aa	upp
úr	aþ	úr
þurru	lheþsf	þurr
að	cn	að
koma	sng	koma
sér	fpkfþ	sig
í	ao	í
form	nheo	form
með	aþ	með
hraði	nheþ	hrað
heltist	svm3fn	helta
fljótlega	aa	fljótlega
úr	aþ	úr
lestinni	nveþg	lest
.	.	.

«	«	«
Líkamsrækt	nven	líkamsrækt
er	sfg3en	vera
ekkert	fohen	enginn
sem	ct	sem
maður	nken	maður
skreppur	sfg3en	skreppa
í	aa	í
og	c	og
ég	fp1en	ég
hef	sfg1en	hafa
ekki	aa	ekki
séð	ssg	sjá
ástæðu	nveo	ástæða
til	ae	til
að	cn	að
koma	sng	koma
með	ao	með
einhver	fohfo	einhver
gylliboð	nhfo	gylliboð
í	aþ	í
janúar	nkeþ	janúar
og	c	og
gera	sng	gera
út	aa	út
á	ao	á
þess	x	það
flóðbylgju	nveo	flóðbylgja
.	.	.

Það	fphen	það
gerist	sfm3en	gera
lítið	aa	lítið
í	aþ	í
þessum	fahfþ	þessi
málum	nhfþ	mál
hjá	aþ	hjá
fólki	nheþ	fólk
fyrr	aam	fyrr
en	c	en
það	fphen	það
tekur	sfg3en	taka
ákvörðun	nveo	ákvörðun
um	ao	um
að	cn	að
bæta	sng	bæta
sig	fpheo	sig
innra	aam	innra
með	aþ	með
sér	fpheþ	sig
og	c	og
er	sfg3en	vera
tilbúið	lhensf	tilbúinn
til	ae	til
að	cn	að
gera	sng	gera
þetta	faheo	þessi
almennilega	aa	almennilega
.	.	.

Þetta	fahen	þessi
er	sfg3en	vera
alveg	aa	alveg
eins	aa	eins
og	c	og
að	cn	að
hætta	sng	hætta
að	cn	að
reykja	sng	reykja
.	.	.

Það	fphen	það
gengur	sfg3en	ganga
ekki	aa	ekki
fyrr	aam	fyrr
en	c	en
fólk	nhen	fólk
vill	sfg3en	vilja
virkilega	aa	virkilega
hætta	sng	hætta
.	.	.
»	»	»

Þeir	fpkfn	hann
eru	sfg3fn	vera
ófáir	lkfnsf	ófár
sem	ct	sem
ákveða	sfg3fn	ákveða
að	cn	að
drepa	sng	drepa
í	aþ	í
síðustu	lveþve	síðari
sígarettunni	nveþg	sígaretta
á	ao	á
gamlárskvöld	nheo	gamlárskvöld
en	c	en
lenda	sfg3fn	lenda
svo	aa	svo
í	aþ	í
því	fpheþ	það
að	cn	að
falla	sng	falla
á	aþ	á
næstu	lvfþve	næstur
klukkustundum	nvfþ	klukkustund
,	,	,
sólarhringum	nkfþ	sólarhringur
eða	c	eða
vikum	nvfþ	vika
.	.	.

Guðjón	nken-s	Guðjón
Bergmann	nken-s	Bergmann
hefur	sfg3en	hafa
hjálpað	ssg	hjálpa
fólki	nheþ	fólk
að	cn	að
hætta	sng	hætta
að	cn	að
reykja	sng	reykja
frá	aþ	frá
árinu	nheþg	ár
1997	ta	1997
og	c	og
hann	fpken	hann
segir	sfg3en	segja
eftirspurnina	nveog	eftirspurn
eftir	aþ	eftir
þjónustu	nveþ	þjónusta
sinni	feveþ	sinn
aldrei	aa	aldrei
meiri	lveþvm	mikill
en	c	en
í	aþ	í
janúar	nkeþ	janúar
á	aþ	á
hverju	foheþ	hver
ári	nheþ	ár
.	.	.

«	«	«
Fólk	nhen	fólk
stendur	sfg3en	standa
þarna	aa	þarna
á	aþ	á
ákveðnum	lhfþsf	ákveðinn
tímamótum	nhfþ	tímamót
og	c	og
tekur	sfg3en	taka
þessa	faveo	þessi
ákvörðun	nveo	ákvörðun
.	.	.

Vandamálið	nheng	vandamál
er	sfg3en	vera
að	c	að
margir	lkfnsf	margur
gera	sfg3fn	gera
það	fpheo	það
án	ae	án
þess	fphee	það
að	cn	að
undirbúa	sng	undirbúa
sig	fpkfo	sig
neitt	fohen	neinn
.	.	.

Þeir	fakfn	sá
sem	ct	sem
hætta	sfg3fn	hætta
að	cn	að
reykja	sng	reykja
óundirbúnir	lkfnsf	óundirbúinn
eiga	sfg3fn	eiga
það	fpheo	það
á	aþ	á
hættu	nveþ	hætta
að	cn	að
falla	sng	falla
og	c	og
í	ao	í
hvert	foheo	hver
skipti	nheo	skipti
sem	ct	sem
maður	nken	maður
fellur	sfg3en	falla
vex	sfg3en	vaxa
manni	nkeþ	maður
þetta	fahen	þessi
verkefni	nhen	verkefni
enn	aa	enn
meira	aam	meira
í	aþ	í
augum	nhfþ	auga
.	.	.

Ég	fp1en	ég
hef	sfg1en	hafa
bent	ssg	benda
fólki	nheþ	fólk
á	ao	á
það	fpheo	það
að	c	að
það	fphen	það
er	sfg3en	vera
ekkert	fohen	enginn
mál	nhen	mál
að	cn	að
hætta	sng	hætta
en	c	en
undirbúningurinn	nkeng	undirbúningur
skipti	svg3en	skipta
öllu	foheþ	allur
máli	nheþ	mál
svo	aa	svo
fólk	nhen	fólk
sé	svg3en	vera
ekki	aa	ekki
að	cn	að
búa	sng	búa
sér	fpheþ	sig
til	aa	til
slæmar	lvfosf	slæmur
minningar	nvfo	minning
sem	c	sem
oftar	aam	oft
en	c	en
ekki	aa	ekki
tengjast	sfm3fn	tengja
misheppnuðum	lhfþsf	misheppnaður
áramótaheitum	nhfþ	áramótaheit
.	.	.

Ég	fp1en	ég
legg	sfg1en	leggja
því	aa	því
áherslu	nveo	áhersla
á	ao	á
að	c	að
fólk	nhen	fólk
hætti	svg3en	hætta
ekki	aa	ekki
að	cn	að
reykja	sng	reykja
fyrr	aam	fyrr
en	c	en
það	fphen	það
byrjar	sfg3en	byrja
á	aþ	á
námskeiðunum	nhfþg	námskeið
hjá	aþ	hjá
mér	fp1eþ	ég
fyrstu	lveove	fyrstur
vikuna	nveog	vika
í	aþ	í
janúar	nkeþ	janúar
og	c	og
ræð	sfg1en	ráða
því	fpheþ	það
frá	aþ	frá
að	cn	að
hætta	sng	hætta
endilega	aa	endilega
1.	ta	1.
janúar	nkeo	janúar
þar	aa	þar
sem	c	sem
hætt	lhensf	hættur
er	sfg3en	vera
við	aa	við
að	c	að
það	fphen	það
falli	svg3en	falla
í	aþ	í
millitíðinni	nveþg	millitíð
og	c	og
mæti	svg3en	mæta
vonlítið	lhensf	vonlítill
til	ae	til
leiks	nkee	leikur
.	.	.
»	»	»

Áramót	nhfn	áramót
með	aþ	með
heilum	lkeþsf	heill
eða	c	eða
hálfum	lkeþsf	hálfur
hug	nkeþ	hugur

Fjöldi	nken	fjöldi
fólks	nhee	fólk
ákveður	sfg3en	ákveða
að	cn	að
takast	snm	taka
á	aa	á
við	ao	við
veikleika	nkfo	veikleiki
sína	fekfo	sinn
um	ao	um
hver	fohfo	hver
áramót	nhfo	áramót
.	.	.

Það	fphen	það
er	sfg3en	vera
þó	aa	þó
engan	fokeo	enginn
veginn	nkeog	vegur
nóg	lhensf	nógur
að	cn	að
ákveða	sng	ákveða
slíkt	fbheo	slíkur
á	aþ	á
síðustu	lvfþve	síðari
mínútum	nvfþ	mínúta
ársins	nheeg	ár
og	c	og
hugur	nken	hugur
verður	sfg3en	verða
að	cn	að
fylgja	sng	fylgja
máli	nheþ	mál
eigi	svg3en	eiga
árangur	nken	árangur
að	cn	að
nást	snm	ná
.	.	.

GUÐJÓN	nken-s	Guðjón
BERGMANN	nken-s	Bergmann
Hefur	sfg3en	hafa
hjálpað	ssg	hjálpa
reykingafólki	nheþ	reykingafólk
að	cn	að
hætta	sng	hætta
síðan	aa	síðan
1997	ta	1997
.	.	.

«	«	«
Ég	fp1en	ég
hef	sfg1en	hafa
verið	ssg	vera
að	cn	að
einbeita	sng	einbeita
mér	fp1eþ	ég
meira	aam	meira
og	c	og
meira	aam	meira
að	aþ	að
jóganu	nheþg	jóga
en	c	en
ákvað	sfg1eþ	ákveða
að	cn	að
bregðast	snm	bregða
við	aþ	við
mikilli	lveþsf	mikill
eftirspurn	nveþ	eftirspurn
með	aþ	með
því	fpheþ	það
að	cn	að
halda	sng	halda
eitt	tfheo	einn
opið	lheosf	opinn
reykinganámskeið	nheo	reykinganámskeið
í	aþ	í
janúar	nkeþ	janúar
.	.	.
»	»	»

BÁRA	nven-s	Bára
MAGNÚSDÓTTIR	nven-s	Magnúsdóttir
Segir	sfg3en	segja
það	fpheo	það
fasta	lkfosf	fastur
liði	nkfo	liður
í	aþ	í
líkamsræktinni	nveþg	líkamsrækt
að	c	að
fólk	nhen	fólk
ákveði	svg3en	ákveða
að	cn	að
taka	sng	taka
sig	fpheo	sig
á	aa	á
um	ao	um
áramót	nhfo	áramót
og	c	og
streymi	svg3en	streyma
