þessu	faheþ	þessi
.	.	.
Nýja	lvenvf	nýr
bílahöllin	nveng	bílahöll
Funahöfða	nkeþ-s	Funahöfði
1	ta	1
,	,	,
112	ta	112
Rvk.	as	Rvk.
Sími	nken	sími
:	:	:
567	ta	567
2277	ta	2277
www.notadirbilar.is	v	www.notadirbilar.is
TOYOTA	e	Toyota
LAND	e	LAND
CRUISER	e	CRUISER
80	ta	80
GX	as	GX
TDI	as	TDI
ÁRG.	as	ÁRG.
1995	ta	1995
,	,	,
SJÁLFSK.	as	SJÁLFSK.
,	,	,
EK.	as	ek.
AÐEINS	aa	aðeins
167	ta	167
Þ.	as	Þ.
KM.	as	KM.
,	,	,
R	x	r
/	/	/
Ö	x	ö
,	,	,
DRIFLÆSINGAR	nvfn	driflæsing
,	,	,
NÝ	lhfnsf	nýr
35	ta	35
DEKK	nhfn	dekk
O.FL.	as	O.FL.
TOPPEINTAK	nhen	toppeintak
!	!	!
V.	as	V.
2.950	ta	2.950
Þ.	as	Þ.
ATH.	as	ATH.
skipti	nhfo	skipti
.	.	.
S.	as	s.
864	ta	864
2430	ta	2430
eða	c	eða
565	ta	565
2430	ta	2430
.	.	.
Patrol	e	Patrol
'	'	'
93	ta	93
árg.	as	árg.
38	ta	38
dekk	nhfn	dekk
,	,	,
aukatankur	nken	aukatankur
,	,	,
læstur	lkensf	læstur
og	c	og
allt	fohen	allur
það	fahen	sá
helsta	lhenve	heldri
.	.	.
Ekinn	lkensf	ekinn
177	ta	177
þ.	as	þ.
Lítur	sfg3en	líta
nánast	aae	náið
út	aa	út
sem	c	sem
nýr	lkensf	nýr
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
894	ta	894
4005	ta	4005
.	.	.
TOYOTA	e	Toyota
LANDCRUISER	e	LANDCRUISER
100	ta	100
VX	as	VX
V8	x	V8
NÝSKR	x	nýskr.
12.2001	ta	12.2001
EK	x	aka
:	:	:
47Þ	ta	47þ
AÐEINS	aa	aðeins
,	,	,
SSK	as	SSK
,	,	,
SÓLL	x	sóll
,	,	,
BAKKSKYNJARI	nken	bakkskynjari
,	,	,
OFL	as	OFL
V	x	v
:	:	:
4.590Þ	ta	4.590þ
SP-LÁN	nhen	SP-LÁN
2.990Þ	ta	2.990þ
ATH	as	ath.
SKIPTI	nhfo	skipti
,	,	,
STÓRGLÆSILEGUR	lkensf	stórglæsilegur
JEPPI	nken	jeppi
!	!	!
Litla	lvenvf	lítill
bílasalan	nveng	bílasala
Funahöfða	nkeþ-s	Funahöfði
1	ta	1
,	,	,
112	ta	112
Rvk.	as	Rvk.
Sími	nken	sími
:	:	:
587	ta	587
7777	ta	7777
www.litla.is	v	www.litla.is
Öflugur	lkensf	öflugur
vinnuþjarkur	nken	vinnuþjarkur
í	aþ	í
góðu	lheþsf	góður
standi	nheþ	stand
!	!	!
!	!	!
!	!	!
M.Benz	e	M.Benz
709	ta	709
dísel	nxeo	dísel
árg.	as	árg.
1990	ta	1990
.	.	.
Sturtupallur	nken	sturtupallur
,	,	,
krókur	nken	krókur
,	,	,
7	ta	7
manna	nkfe	maður
,	,	,
nýskoðaður	lkensf	nýskoðaður
!	!	!
!	!	!
!	!	!
V	x	v
.	.	.
880	ta	880
þ.	as	þ.
+	+	+
VSK	as	VSK
!	!	!
!	!	!
!	!	!
Til	ae	til
sýnis	nhee	sýni
og	c	og
sölu	nvee	sala
hjá	aþ	hjá
Bílasölu	nveþ-s	Bílasala
Matthíasar	nkee-s	Matthías
-	-	-
Bílalíf	nheþ-s	Bílalíf
,	,	,
sími	nken	sími
562	ta	562
1717	ta	1717
.	.	.
Sjá	sng	sjá
fleiri	lvfovm	margur
myndir	nvfo	mynd
á	aþ	á
www.bilalif.is	v	www.bilalif.is
*	*	*
*	*	*
*	*	*
ATH.	as	ATH.
opið	lhensf	opinn
9:00	ta	9:00
til	ae	til
21:00	ta	21:00
*	*	*
*	*	*
*	*	*
Skoda	e	Skoda
Felicia	e	Felicia
sendibíll	nken	sendibíll
VSK	as	VSK
,	,	,
EK.	as	ek.
aðeins	aa	aðeins
54	ta	54
þ.	as	þ.
km	as	km
,	,	,
árg.	as	árg.
12/98	ta	12/98
.	.	.
V.	as	V.
350	ta	350
þús.	as	þús.
+	+	+
vsk	as	vsk
.	.	.
«	«	«
Þessi	faken	þessi
vill	sfg3en	vilja
komast	snm	koma
í	ao	í
vinnu	nveo	vinna
»	»	»
.	.	.
Ath.	as	Ath.
tveir	tfkfn	tveir
bílar	nkfn	bíll
í	aþ	í
boði	nheþ	boð
.	.	.
VOLVO	e	VOLVO
850	ta	850
stw	e	stw
GLE	e	GLE
,	,	,
árg.	as	árg.
1996	ta	1996
,	,	,
EK.	as	ek.
128	ta	128
þ.	as	þ.
km	as	km
,	,	,
sjálfskiptur	lkensf	sjálfskiptur
,	,	,
álfelgur	nvfn	álfelga
,	,	,
spoiler	e	spoiler
.	.	.
V.	as	V.
1.090	ta	1.090
þús.	as	þús.
«	«	«
Fasteign	nven	fasteign
á	aþ	á
hjólum	nhfþ	hjól
»	»	»
.	.	.
Peugeot	e	Peugeot
205	ta	205
FOREVER	e	FOREVER
1400	ta	1400
vél	nven	vél
,	,	,
árg.	as	árg.
1995	ta	1995
,	,	,
ekinn	lkensf	ekinn
aðeins	aa	aðeins
109	ta	109
þ.	as	þ.
km	as	km
.	.	.
Beinskiptur	lkensf	beinskiptur
,	,	,
topplúga	nven	topplúga
,	,	,
rafm.	as	rafm.
í	aþ	í
rúðum	nvfþ	rúða
.	.	.
Verð	nhen	verð
aðeins	aa	aðeins
290	ta	290
þús.	as	þús.
«	«	«
Gullfallegur	lkensf	gullfallegur
,	,	,
sparneytinn	lkensf	sparneytinn
og	c	og
gott	lhensf	góður
viðhald	nhen	viðhald
»	»	»
.	.	.
Subaru	e	Subaru
Impreza	e	Impreza
2.0L	ta	2.0l
4dw	ta	4dw
«	«	«
Sport	nhen	sport
»	»	»
árg.	as	árg.
2/1998	ta	2/1998
ekinn	lkensf	ekinn
aðeins	aa	aðeins
77	ta	77
þús.	as	þús.
km	as	km
.	.	.
17	ta	17
»	»	»
álfelgur	nvfn	álfelga
,	,	,
spoiler	e	spoiler
,	,	,
ofl.	as	ofl.
V.	as	V.
940	ta	940
þús.	as	þús.
Áhvíl.	as	áhvíl.
435	ta	435
þús.	as	þús.
«	«	«
Sportlegur	lkensf	sportlegur
vagn	nken	vagn
»	»	»
.	.	.
Chrysler	e	Chrysler
PT	e	PT
Cruiser	e	Cruiser
,	,	,
2.4	ta	2.4
L	e	L
Limited	e	Limited
Edition	e	Edition
,	,	,
árg.	as	árg.
2001	ta	2001
,	,	,
ekinn	lkensf	ekinn
75	ta	75
þús.	as	þús.
km	as	km
.	.	.
Sjálfskiptur	lkensf	sjálfskiptur
,	,	,
leðurinnrétting	nven	leðurinnrétting
,	,	,
sóllúga	nven	sóllúga
,	,	,
krómfelgur	nvfn	krómfelga
ofl.	as	ofl.
ofl.	as	ofl.
V.	as	V.
2.380	ta	2.380
þús.	as	þús.
«	«	«
Já	au	já
það	fphen	það
er	sfg3en	vera
horft	sþghen	horfa
á	ao	á
hann	fpkeo	hann
þennan	fakeo	þessi
»	»	»
.	.	.
Bílasala	nven-s	Bílasala
Matthíasar	nkee-s	Matthías
-	-	-
Bílalíf	nhen-s	Bílalíf
Vatnsmýrarvegi	nkeþ-s	Vatnsmýrarvegur
37	ta	37
,	,	,
101	ta	101
Rvk	as	Rvk.
Sími	nken	sími
:	:	:
562	ta	562
1717	ta	1717
www.bilalif.is	v	www.bilalif.is
VW	as	VW
Vento	e	Vento
1,8	ta	1,8
GL	as	GL
árg.	as	árg.
1994	ta	1994
ekinn	lkensf	ekinn
150	ta	150
þ.	as	þ.
km	as	km
,	,	,
beinskiptur	lkensf	beinskiptur
,	,	,
álfelgur	nvfn	álfelga
,	,	,
dráttarbeisli	nhen	dráttarbeisli
,	,	,
geislaspilari	nken	geislaspilari
,	,	,
vetrardekk	nhfn	vetrardekk
á	aþ	á
felgum	nvfþ	felga
fylgja	sfg3fn	fylgja
.	.	.
Verð	nhen	verð
390.000	ta	390.000
.	.	.
Hyundai	e	Hyundai
Sonata	e	Sonata
10/1996	ta	10/1996
ekinn	lkensf	ekinn
107	ta	107
þ.	as	þ.
km	as	km
,	,	,
beinskiptur	lkensf	beinskiptur
,	,	,
álfelgur	nvfn	álfelga
,	,	,
dráttarbeisli	nhen	dráttarbeisli
,	,	,
geislaspilari	nken	geislaspilari
.	.	.
Verð	nhen	verð
590.000	ta	590.000
.	.	.
Daihatsu	e	Daihatsu
Feroza	e	Feroza
árg.	as	árg.
1996	ta	1996
ekinn	lkensf	ekinn
101	ta	101
þ.	as	þ.
km	as	km
,	,	,
beinskiptur	lkensf	beinskiptur
,	,	,
31	ta	31
dekk	nhfn	dekk
.	.	.
Verð	nhen	verð
490.000	ta	490.000
.	.	.
Daihatsu	e	Daihatsu
Rocky	e	Rocky
2,8	ta	2,8
turbo	e	turbo
dísel	nxen	dísel
árg	x	árg
1992	ta	1992
ekinn	lkensf	ekinn
250þkm	as	250þkm
33	ta	33
dekk	nhfn	dekk
verð	nhen	verð
290,000	ta	290,000
.	.	.
Renault	e	Renault
Clio	e	Clio
RN	as	RN
1200	ta	1200
árg.	as	árg.
1997	ta	1997
,	,	,
ekinn	lkensf	ekinn
71	ta	71
þ.	as	þ.
km	as	km
,	,	,
5	ta	5
dyra	nvfe	dyr
,	,	,
fjarst.	as	fjarst.
samlæs.	as	samlæs.
,	,	,
sumar-	nhfn	sumardekk
og	c	og
vetrardekk	nhfn	vetrardekk
.	.	.
Verð	nhen	verð
390.000	ta	390.000
.	.	.
Renault	e	Renault
Clio	e	Clio
RN	as	RN
1200	ta	1200
árg.	as	árg.
1996	ta	1996
ekinn	lkensf	ekinn
86	ta	86
þ.	as	þ.
km	as	km
,	,	,
3	ta	3
dyra	nvfe	dyr
,	,	,
álfelgur	nvfn	álfelga
,	,	,
ný	lvensf	nýr
tímareim	nven	tímareim
.	.	.
Frábær	lkensf	frábær
vinnubíll	nken	vinnubíll
á	aþ	á
TILBOÐSVERÐI	nheþ	tilboðsverð
190.000	ta	190.000
STGR	as	STGR
.	.	.
Nissan	e	Nissan
Micra	e	Micra
GX	as	GX
1,3	ta	1,3
5/1999	ta	5/1999
ekinn	lkensf	ekinn
98	ta	98
þ.	as	þ.
km	as	km
.	.	.
3	ta	3
dyra	nvfe	dyr
.	.	.
5	ta	5
gíra	nkfe	gír
.	.	.
Verð	nhen	verð
490.000	ta	490.000
.	.	.
Daewoo	e	Daewoo
Lanos	e	Lanos
1,6	ta	1,6
SX	e	SX
árg.	as	árg.
7/1998	ta	7/1998
ekinn	lkensf	ekinn
115	ta	115
þ.	as	þ.
km	as	km
,	,	,
ABS	as	ABS
,	,	,
álfelgur	nvfn	álfelga
.	.	.
TILBOÐSVERÐ	nhen	tilboðsverð
335.000	ta	335.000
.	.	.
Bílabúð	nven-s	bílabúð
Benna	nkee-s	Benni
ehf.	as	ehf.
Notaðir	lkfnsf	notaður
bílar	nkfn	bíll
Bíldshöfði	nken-s	Bíldshöfði
10	ta	10
,	,	,
110	ta	110
Rvk.	as	Rvk.
Sími	nken	sími
:	:	:
587	ta	587
1000	ta	1000
www.benni.is	v	www.benni.is
Jeep	e	Jeep
Wrangler	e	Wrangler
1993	ta	1993
2.5	ta	2.5
vél	nven	vél
.	.	.
Beinskiptur	lkensf	beinskiptur
,	,	,
hvítur	lkensf	hvítur
.	.	.
Verð	nhen	verð
680	ta	680
þús.	as	þús.
Möguleiki	nken	möguleiki
á	aþ	á
50%	tp	50%
í	aþ	í
VN	as	VN
.	.	.
Uppl.	as	uppl.
540	ta	540
5800	ta	5800
.	.	.
Ford	e	Ford
Mustang	e	Mustang
1971	ta	1971
351	ta	351
vél	nven	vél
.	.	.
Blár	lkensf	blár
með	aþ	með
gráum	lvfþsf	grár
strípum	nvfþ	strípur
.	.	.
Flott	lhensf	flottur
eintak	nhen	eintak
.	.	.
Verð	nhen	verð
1.190	ta	1.190
þús.	as	þús.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
540	ta	540
5800	ta	5800
.	.	.
Bílamiðstöðin	nvengs	Bílamiðstöðin
Hyrjarhöfða	nkeþ-s	Hyrjarhöfði
2	ta	2
,	,	,
112	ta	112
Rvk.	as	Rvk.
Sími	nken	sími
:	:	:
540	ta	540
5800	ta	5800
www.bilasala.is	v	www.bilasala.is
Góðir	lkfnsf	góður
viðskipavinir	nkfn	viðskipavinur
athugið	sbg2fn	athuga
.	.	.
Bílasala	nven-s	Bílasala
Íslands	nhee-s	Ísland
er	sfg3en	vera
nú	aa	nú
á	aþ	á
tveimur	tfkfþ	tveir
stöðum	nkfþ	staður
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
,	,	,
Skógarhlíð	nveþ-s	Skógarhlíð
10	ta	10
og	c	og
Stórhöfða	nkeþ-s	Stórhöfði
26	ta	26
.	.	.
bilasalaislands.is	v	bilasalaislands.is
NISSAN	e	NISSAN
TERRANO	e	TERRANO
II	ta	II
SLX	e	SLX
DÍSEL	nxen	dísel
TÚRBÓ	nxen	TÚRBÓ
.	.	.
Árgerð	nven	árgerð
1996	ta	1996
.	.	.
Ekinn	lkensf	ekinn
178	to	178
þúsund	tfkfo	þúsund
km	as	km
.	.	.
Nýskráður	lkensf	nýskráður
1996	ta	1996
.	.	.
Næsta	lvenve	næstur
skoðun	nven	skoðun
2004	ta	2004
.	.	.
Árgerð	nven	árgerð
1996	ta	1996
.	.	.
Ekinn	lkensf	ekinn
178	to	178
þúsund	tfkfo	þúsund
km	as	km
.	.	.
Nýskráður	lkensf	nýskráður
1996	ta	1996
.	.	.
Næsta	lvenve	næstur
skoðun	nven	skoðun
2004	ta	2004
.	.	.
Ekkert	fohen	enginn
áhvílandi	lhenof	áhvílandi
.	.	.
Skipti	nhfn	skipti
á	aþ	á
dýrari	lkeþvm	dýr
.	.	.
SUZUKI	e	SUZUKI
DRZ	e	DRZ
400	ta	400
.	.	.
Ekið	ssg	aka
um	aa	um
3	ta	3
þ.	as	þ.
km	as	km
.	.	.
Verð	nhen	verð
630.	ta	630.
þús.	as	þús.
Ekkert	fohen	enginn
áhvílandi	lhenof	áhvílandi
.	.	.
Bílasala	nven-s	Bílasala
Íslands	nhee-s	Ísland
Stórhöfða	nkeþ-s	Stórhöfði
26	ta	26
&	c	&
Skógarhlíð	nveþ-s	Skógarhlíð
10	ta	10
,	,	,
110	ta	110
Rvk.	as	Rvk.
Sími	nken	sími
:	:	:
510	ta	510
4900	ta	4900
www.bilasalaislands.is	v	www.bilasalaislands.is
Til	ae	til
Sölu	nvee	sala
MMC	as	MMC
Pajero	e	Pajero
árg.	as	árg.
1997	ta	1997
,	,	,
3,5	ta	3,5
bensín	nhen	bensín
ssk.	as	ssk.
,	,	,
ek.	as	ek.
145,000	ta	145,000
þ.	as	þ.
km	as	km
.	.	.
Fallegur	lkensf	fallegur
7	ta	7
manna	nkfe	maður
bíll	nken	bíll
.	.	.
Verð	nhen	verð
1.490.000	ta	1.490.000
,	,	,
bílalán	nhen	bílalán
1.000.000	ta	1.000.000
.	.	.
Skipti	nhfn	skipti
möguleg	lhfnsf	mögulegur
á	aþ	á
ódýrari	lkeþvm	ódýr
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
860	ta	860
1998	ta	1998
.	.	.
Bílasala	nven-s	Bílasala
Reykjavíkur	nvee-s	Reykjavík
Bíldshöfða	nkeþ-s	Bíldshöfði
10	ta	10
,	,	,
112	ta	112
Rvk.	as	Rvk.
Sími	nken	sími
:	:	:
587	ta	587
8888	ta	8888
www.bilasalarvk.is	v	www.bilasalarvk.is
CHEVROLET	e	CHEVROLET
CAMARO	e	CAMARO
Z-28	ta	Z-28
35TH	ta	35th
ANNIVERSARY	e	ANNIVERSARY
árgerð	nven	árgerð
2002	ta	2002
.	.	.
Álfelgur	nvfn	álfelga
,	,	,
ttoppur	x	toppur
,	,	,
leðurinnrétting	nven	leðurinnrétting
og	c	og
fleira	lhenvm	margur
.	.	.
Bíllinn	nkeng	bíll
er	sfg3en	vera
eins	aa	eins
og	c	og
nýr	lkensf	nýr
.	.	.
Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
893	ta	893
6404	ta	6404
.	.	.
PONTIAC	e	PONTIAC
GRAND	e	Grand
PRIX	e	PRIX
SE	e	SE
COUPE	e	COUPE
árg.	as	árg.
'	'	'
94	ta	94
.	.	.
Ek.	as	ek.
88	ta	88
þús.	as	þús.
míl.	as	míl.
Spoilerkitt	nhen	spoilerkitt
allan	fokeo	allur
hringinn	nkeog	hringur
.	.	.
CD	as	CD
.	.	.
16	ta	16
álf	x	Álfur
.	.	.
Ný	lhfnsf	nýr
dekk	nhfn	dekk
og	c	og
fl.	as	fl.
Skoðaður	lkensf	skoðaður
'	'	'
05	ta	05
.	.	.
Mjög	aa	mjög
vel	aa	vel
með	aa	með
farinn	sþgken	fara
.	.	.
Tilboð	nhfn	tilboð
óskast	sfm3fn	óska
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
847	ta	847
0256	ta	0256
.	.	.
Lancer	e	Lancer
'	'	'
93	ta	93
,	,	,
1600	ta	1600
,	,	,
ssk.	as	ssk.
,	,	,
Ek.	as	ek.
170	ta	170
þ.	as	þ.
,	,	,
skoða	sng	skoða
skipti	nhfo	skipti
á	aþ	á
tjaldvagni	nkeþ	tjaldvagn
eða	c	eða
dýrari	lkeþvm	dýr
bíl	nkeþ	bíll
.	.	.
Uppl.	as	uppl.
s.	as	s.
897	ta	897
1309	ta	1309
.	.	.
Daihatsu	e	Daihatsu
Terios	e	Terios
árg.	as	árg.
1998	ta	1998
ekinn	lkensf	ekinn
70.000	ta	70.000
km	as	km
.	.	.
Sumar-	nhfn	sumardekk
og	c	og
vetrardekk	nhfn	vetrardekk
fylgja	sfg3fn	fylgja
.	.	.
Drátt-	nven	drátt-
arkúla	nven	arkúla
.	.	.
Sími	nken	sími
869	ta	869
2840	ta	2840
.	.	.
Nissan	e	Nissan
Sunny	e	Sunny
árg.	as	árg.
'	'	'
87	ta	87
Ek.	as	ek.
151.000	ta	151.000
.	.	.
Skoðaður	lkensf	skoðaður
'	'	'
05	ta	05
.	.	.
Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
821	ta	821
7384	ta	7384
.	.	.
Bíll	nken	bíll
til	ae	til
leigu	nvee	leiga
.	.	.
Hyundai	e	Hyundai
Matrix	e	Matrix
nýsk.	as	nýsk.
04/03	ta	04/03
,	,	,
Ek.	as	ek.
24	ta	24
þús.	as	þús.
,	,	,
tvö	tfhfn	tveir
ár	nhfn	ár
eftir	aa	eftir
af	aþ	af
samning	x	samningur
,	,	,
ca	as	ca
30	ta	30
þús.	as	þús.
á	aþ	á
mán.	as	mán.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
663	ta	663
6040	ta	6040
.	.	.
Fólksbíll	nken	fólksbíll
með	aþ	með
skotti	nheþ	skott
og	c	og
krók	nkeþ	krókur
.	.	.
Árg.	as	Árg.
'	'	'
92	ta	92
,	,	,
e.	as	e.
144	ta	144
þús.	as	þús.
Vertrardekk	nhfn	vertrardekk
fylgja	sfg3fn	fylgja
.	.	.
Verð	nhen	verð
200	ta	200
þúsund	ta	þúsund
.	.	.
Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
690	ta	690
1881	ta	1881
.	.	.
Toyota	e	Toyota
Carina	e	Carina
E	e	E
'	'	'
93	ta	93
Ek.	as	ek.
190.000	ta	190.000
.	.	.
14	ta	14
&	c	&
15	ta	15
Álf.	as	álf.
,	,	,
vetrard.	as	vetrard.
,	,	,
rafm.	as	rafm.
í	aþ	í
rúð.	as	rúð.
,	,	,
hiti	nken	hiti
í	aþ	í
sætum	nhfþ	sæti
,	,	,
dr.beisli	nhen	dr.beisli
.	.	.
Toppbíll	nken	toppbíll
.	.	.
Ath.	as	Ath.
sk.	as	sk.
á	aþ	á
Enduro	e	Enduro
hjóli	nheþ	hjól
.	.	.
S.	as	s.
899	ta	899
9968	ta	9968
Til	ae	til
sölu	nvee	sala
toppeintak	nhen	toppeintak
af	aþ	af
Toyota	e	Toyota
Corolla	e	Corolla
4WD	ta	4wd
árg.	as	árg.
'	'	'
91	ta	91
ekin	lvensf	aka
206	ta	206
þ.	as	þ.
Verð	nhen	verð
aðeins	aa	aðeins
150	ta	150
þús.	as	þús.
S.	as	s.
696	ta	696
9398	ta	9398
.	.	.
Til	ae	til
sölu	nvee	sala
Toyota	e	Toyota
Corolla	e	Corolla
XL	as	XL
'	'	'
90	ta	90
.	.	.
Sk	x	SK
'	'	'
05	ta	05
.	.	.
Ek.	as	ek.
140	ta	140
þ.	as	þ.
Fjarst.	as	Fjarst.
saml.	as	saml.
Ný	lhfnsf	nýr
sumardekk	nhfn	sumardekk
,	,	,
nagladekk	nhfn	nagladekk
á	aþ	á
felgum	nvfþ	felga
,	,	,
krókur	nken	krókur
.	.	.
Verð	nhen	verð
150	ta	150
þús.	as	þús.
S.	as	s.
864	ta	864
3560	ta	3560
.	.	.
Mitsubishi	e	Mitsubishi
Lancer	e	Lancer
1300cc	ta	1300cc
,	,	,
árg.	as	árg.
'	'	'
93	ta	93
,	,	,
Ek.	as	ek.
173	ta	173
þ.	as	þ.
Beinsk.	as	beinsk.
Verð	nhen	verð
180	ta	180
þ.	as	þ.
S.	as	s.
864	ta	864
2257	ta	2257
.	.	.
SMÁ	lvfeof	smá
AUGLÝSINGA	nvfe	auglýsing
SÍMINN	nkeng	sími
ER	sfg3en	vera
550	ta	550
5000	ta	5000
AFGREIÐSLAN	nveng	afgreiðsla
ER	sfg3en	vera
OPIN	lvensf	opinn
ALLA	fokfo	allur
VIRKA	lkfosf	virkur
DAGA	nkfo	dagur
FRÁ	aþ	frá
9-19	ta	9-19
AFGREIÐSLAN	nveng	afgreiðsla
ER	sfg3en	vera
OPIN	lvensf	opinn
UM	ao	um
HELGAR	nvfo	helgi
FRÁ	aþ	frá
9-17	ta	9-17
15	ta	15
TIL	ae	til
BIRTINGAR	nvee	birting
NÆSTA	lkeove	næstur
DAG	nkeo	dagur
ÞARF	sfg3en	þurfa
AÐ	cn	að
PANTA	sng	panta
FYRIR	aa	fyrir
Til	ae	til
sölu	nvee	sala
HONDA	e	HONDA
CRF	as	CRF
450	ta	450
árg.	as	árg.
2002	ta	2002
og	c	og
YAMAHA	e	YAMAHA
WR	e	WR
450	ta	450
árg.	as	árg.
2003	ta	2003
.	.	.
Topphjól	nhfn	topphjól
í	aþ	í
góðu	lheþsf	góður
standi	nheþ	stand
.	.	.
Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
897	ta	897
7007	ta	7007
.	.	.
Volvo	e	Volvo
460	ta	460
turbo	e	turbo
árg.	as	árg.
'	'	'
90	ta	90
.	.	.
Tilboð	nhfn	tilboð
óskast	sfm3fn	óska
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
899	ta	899
2103	ta	2103
.	.	.
MMC	as	MMC
Galant	e	Galant
árg.	as	árg.
'	'	'
91	ta	91
4x4	ta	4x4
skoðaður	lkensf	skoðaður
'	'	'
05	ta	05
.	.	.
Góður	lkensf	góður
bíll	nken	bíll
.	.	.
Ekinn	lkensf	ekinn
208	ta	208
þús.	as	þús.
Sími	nken	sími
867	ta	867
8064	ta	8064
.	.	.
Toyota	e	Toyota
Corolla	e	Corolla
'	'	'
93	ta	93
árg.	as	árg.
Ek.	as	ek.
150	ta	150
þús.	as	þús.
Bíllinn	nkeng	bíll
er	sfg3en	vera
rauður	lkensf	rauður
.	.	.
Útvarp	nhen	útvarp
.	.	.
í	aþ	í
finu	x	fina
formi	nheþ	form
.	.	.
S.	as	s.
697	ta	697
6305	ta	6305
,	,	,
Ísak	nken-s	Ísak
.	.	.
Nissan	e	Nissan
Sunny	e	Sunny
árgerð	nven	árgerð
'	'	'
88	ta	88
,	,	,
skoðaður	lkensf	skoðaður
'	'	'
04	ta	04
,	,	,
næsta	lvenve	næstur
skoðun	nven	skoðun
09/05	ta	09/05
.	.	.
Sími	nken	sími
847	ta	847
0995	ta	0995
.	.	.
MMC	as	MMC
Galant	e	Galant
GTi	e	GTi
,	,	,
árgerð	nven	árgerð
'	'	'
89	ta	89
,	,	,
þarfnast	sfm3en	þarfnast
lagfæringar	nvee	lagfæring
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
694	ta	694
4358	ta	4358
.	.	.
Saab	e	Saab
900	ta	900
'	'	'
88	ta	88
með	ao	með
bilaða	lveosf	bilaður
túrbínu	nveo	túrbína
fæst	sfm3en	fá
á	ao	á
40	ta	40
þús.	as	þús.
Sk.	as	Sk.
'	'	'
05	ta	05
,	,	,
smurbók	nven	smurbók
.	.	.
S.	as	s.
820	ta	820
4780	ta	4780
.	.	.
Peugeot	e	Peugeot
405	ta	405
GR.	as	GR.
Árg.	as	Árg.
'	'	'
92	ta	92
.	.	.
Vegna	ae	vegna
bilunar	nvee	bilun
í	aþ	í
rafkerfi	nheþ	rafkerfi
selst	sfm3en	selja
hann	fpken	hann
á	aþ	á
hálfvirði	nheþ	hálfvirði
.	.	.
Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
861	ta	861
4317	ta	4317
&	c	&
421	ta	421
4317	ta	4317
.	.	.
Toyota	e	Toyota
Corolla	e	Corolla
Hatch-back	e	Hatch-back
'	'	'
92	ta	92
.	.	.
Ek.	as	ek.
197	ta	197
þús.	as	þús.
Nýskoðaður	lkensf	nýskoðaður
.	.	.
Verð	nhen	verð
130.000	ta	130.000
.	.	.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
697	ta	697
7166	ta	7166
.	.	.
Honda	e	Honda
Civic	e	Civic
'	'	'
89	ta	89
.	.	.
Sk	x	SK
'	'	'
05	ta	05
.	.	.
Verð	nhen	verð
70	ta	70
þús.	as	þús.
Uppl.	as	uppl.
í	aþ	í
s.	as	s.
822	ta	822
2806	ta	2806
.	.	.
Til	ae	til
sölu	nvee	sala
MMC	as	MMC
Galant	e	Galant
GLSi	e	GLSi
árgerð	nven	árgerð
'	'	'
92	ta	92
,	,	,
ekinn	lkensf	ekinn
206	ta	206
þúsund	ta	þúsund
,	,	,
Sk.	as	Sk.
'	'	'
05	ta	05
,	,	,
sjálfskiptur	lkensf	sjálfskiptur
,	,	,
topplúga	nven	topplúga
,	,	,
Verðhugmynd	nven	verðhugmynd
190	ta	190
þúsund	ta	þúsund
.	.	.
Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
699	ta	699
2665	ta	2665
&	c	&
426	ta	426
8689	ta	8689
.	.	.
Nissan	e	Nissan
Sunny	e	Sunny
station	e	station
4x4	ta	4x4
árg.	as	árg.
'	'	'
91	ta	91
,	,	,
ekinn	lkensf	ekinn
123	ta	123
þ.	as	þ.
,	,	,
skoðun	nven	skoðun
'	'	'
05	ta	05
.	.	.
Verð	nhen	verð
150	ta	150
þ.	as	þ.
eða	c	eða
tilboð	nhen	tilboð
.	.	.
Uppl.	as	uppl.
í	aþ	í
893	ta	893
6752	ta	6752
.	.	.
Til	ae	til
sölu	nvee	sala
Toyota	e	Toyota
Corolla	e	Corolla
árgerð	nven	árgerð
'	'	'
89	ta	89
,	,	,
1300	ta	1300
,	,	,
sjálfskiptur	lkensf	sjálfskiptur
,	,	,
nýskoðaður	lkensf	nýskoðaður
,	,	,
fallegur	lkensf	fallegur
og	c	og
góður	lkensf	góður
bíll	nken	bíll
.	.	.
Verð	nhen	verð
90	ta	90
þúsund	ta	þúsund
.	.	.
Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
663	ta	663
