seldur	sþgken	selja
á	aþ	á
128.	ta	128.
löggjafarþingi	nheþ	löggjafarþing
2002-2003.	ta	2002-2003.
)	)	)
I.	lkensf	I.
KAFLI	nken	kafli
Gildissvið	nhen	gildissvið
og	c	og
skilgreiningar	nvfn	skilgreining
.	.	.
1.	ta	1.
gr.	as	gr.
Gildissvið	nhen	gildissvið
.	.	.
Lög	nhfn	lag
þessi	fahfn	þessi
taka	sfg3fn	taka
til	ae	til
björgunarsveita	nvfe	björgunarsveit
og	c	og
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
sem	ct	sem
starfa	sfg3fn	starfa
innan	ae	innan
viðurkenndra	lhfesf	viðurkenndur
heildarsamtaka	nhfe	heildarsamtök
björgunarsveita	nvfe	björgunarsveit
.	.	.
2.	ta	2.
gr.	as	gr.
Skilgreiningar	nvfn	skilgreining
.	.	.
Með	aþ	með
björgunarsveit	nveþ	björgunarsveit
er	sfg3en	vera
átt	sþghen	eiga
við	ao	við
félag	nheo	félag
sem	ct	sem
á	aþ	á
grundvelli	nkeþ	grundvöllur
sjálfboðaliðastarfs	nhee	sjálfboðaliðastarf
tekur	sfg3en	taka
þátt	nkeo	þáttur
í	aþ	í
björgun	nveþ	björgun
,	,	,
leit	nveþ	leit
og	c	og
gæslu	nveþ	gæsla
að	aþ	að
beiðni	nveþ	beiðni
stjórnvalda	nhfe	stjórnvald
.	.	.
Með	aþ	með
björgunarsveitarmanni	nkeþ	björgunarsveitarmaður
er	sfg3en	vera
átt	sþghen	eiga
við	ao	við
skráðan	lkeosf	skráður
einstakling	nkeo	einstaklingur
í	aþ	í
björgunarsveit	nveþ	björgunarsveit
sem	ct	sem
tekur	sfg3en	taka
þátt	nkeo	þáttur
í	aþ	í
björgun	nveþ	björgun
,	,	,
björgunaræfingum	nvfþ	björgunaræfing
,	,	,
leit	nveþ	leit
og	c	og
gæslu	nveþ	gæsla
.	.	.
Með	aþ	með
stjórnvöldum	nhfþ	stjórnvald
er	sfg3en	vera
átt	sþghen	eiga
við	ao	við
öll	fohfo	allur
stjórnvöld	nhfo	stjórnvald
sem	ct	sem
lögum	nhfþ	lag
samkvæmt	aþ	samkvæmt
fara	sfg3fn	fara
með	ao	með
yfirstjórn	nveo	yfirstjórn
björgunar-	nhfe	björgunarmál
og	c	og
leitarmála	nhfe	leitarmál
á	aþ	á
hverjum	fokeþ	hver
tíma	nkeþ	tími
.	.	.
Með	aþ	með
björgun	nveþ	björgun
er	sfg3en	vera
átt	sþghen	eiga
við	ao	við
björgun	nveo	björgun
manna	nkfe	maður
eða	c	eða
verðmæta	nhfe	verðmæti
frá	aþ	frá
yfirvofandi	lveþof	yfirvofandi
hættu	nveþ	hætta
eða	c	eða
tjóni	nheþ	tjón
.	.	.
Með	aþ	með
leit	nveþ	leit
er	sfg3en	vera
átt	sþghen	eiga
við	ao	við
leit	nveo	leit
að	aþ	að
mönnum	nkfþ	maður
eða	c	eða
verðmætum	nhfþ	verðmæti
.	.	.
Með	aþ	með
gæslu	nveþ	gæsla
er	sfg3en	vera
átt	sþghen	eiga
við	ao	við
aðstoð	nveo	aðstoð
við	ao	við
að	cn	að
gæta	sng	gæta
manna	nkfe	maður
og	c	og
verðmæta	nhfe	verðmæti
á	aþ	á
svæðum	nhfþ	svæði
sem	ct	sem
lokað	sþghen	loka
hefur	sfg3en	hafa
verið	ssg	vera
vegna	ae	vegna
hættuástands	nhee	hættuástand
.	.	.
II.	lkensf	II.
KAFLI	nken	kafli
Hlutverk	nhen	hlutverk
,	,	,
réttindi	nhfn	réttindi
og	c	og
skyldur	nvfn	skylda
björgunarsveita	nvfe	björgunarsveit
og	c	og
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
.	.	.
3.	ta	3.
gr.	as	gr.
Hlutverk	nhen	hlutverk
björgunarsveita	nvfe	björgunarsveit
og	c	og
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
.	.	.
Hlutverk	nhen	hlutverk
björgunarsveita	nvfe	björgunarsveit
og	c	og
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
er	sfg3en	vera
að	cn	að
starfa	sng	starfa
í	aþ	í
þágu	nveþ	þága
almannaheilla	nvfe	almannaheill
með	aþ	með
þátttöku	nveþ	þátttaka
við	ao	við
björgun	nveo	björgun
,	,	,
leit	nveo	leit
og	c	og
gæslu	nveo	gæsla
á	aþ	á
ábyrgð	nveþ	ábyrgð
stjórnvalda	nhfe	stjórnvald
og	c	og
í	aþ	í
samvinnu	nveþ	samvinna
við	ao	við
þau	fphfo	það
.	.	.
Stjórnvöld	nhfn	stjórnvald
skulu	sfg3fn	skulu
í	aþ	í
samráði	nheþ	samráð
við	ao	við
heildarsamtök	nhfo	heildarsamtök
björgunarsveita	nvfe	björgunarsveit
gera	sng	gera
samkomulag	nheo	samkomulag
um	ao	um
samskipti	nhfo	samskipti
og	c	og
samstarf	nheo	samstarf
björgunaraðila	nkfe	björgunaraðili
þar	aa	þar
sem	c	sem
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
skipulag	nheo	skipulag
björgunarmála	nhfe	björgunarmál
,	,	,
upplýsingaskyldu	nveo	upplýsingaskylda
,	,	,
útköll	nhfo	útkall
og	c	og
boðskipti	nhfo	boðskipti
.	.	.
4.	ta	4.
gr.	as	gr.
Skyldur	nvfn	skylda
björgunarsveita	nvfe	björgunarsveit
og	c	og
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
.	.	.
Björgunarsveitum	nvfþ	björgunarsveit
er	sfg3en	vera
skylt	lhensf	skyldur
að	cn	að
hefja	sng	hefja
björgun	nveo	björgun
,	,	,
leit	nveo	leit
og	c	og
gæslu	nveo	gæsla
ef	c	ef
eftir	aþ	eftir
því	fpheþ	það
er	sfg3en	vera
óskað	sþghen	óska
af	aþ	af
stjórnvaldi	nheþ	stjórnvald
.	.	.
Björgunarsveitarmönnum	nkfþ	björgunarsveitarmaður
er	sfg3en	vera
skylt	lhensf	skyldur
að	cn	að
gæta	sng	gæta
þagmælsku	nvee	þagmælska
um	ao	um
mál	nhfo	mál
sem	ct	sem
þeir	fpkfn	hann
fá	sfg3fn	fá
vitneskju	nveo	vitneskja
um	aa	um
við	ao	við
störf	nhfo	starf
samkvæmt	aþ	samkvæmt
lögum	nhfþ	lag
þessum	fahfþ	þessi
og	c	og
leynt	aa	leynt
skulu	sfg3fn	skulu
fara	sng	fara
samkvæmt	aþ	samkvæmt
fyrirmælum	nhfþ	fyrirmæli
stjórnvalda	nhfe	stjórnvald
og	c	og
eðli	nheþ	eðli
málsins	nheeg	mál
.	.	.
5.	ta	5.
gr.	as	gr.
Tryggingar	nvfn	trygging
.	.	.
Björgunarsveitum	nvfþ	björgunarsveit
er	sfg3en	vera
skylt	lhensf	skyldur
að	cn	að
kaupa	sng	kaupa
slysatryggingar	nvfo	slysatrygging
fyrir	ao	fyrir
félagsmenn	nkfo	félagsmaður
sína	fekfo	sinn
.	.	.
Björgunarsveitum	nvfþ	björgunarsveit
er	sfg3en	vera
skylt	lhensf	skyldur
að	cn	að
kaupa	sng	kaupa
eignatryggingar	nvfo	eignatrygging
fyrir	aþ	fyrir
því	faheþ	sá
tjóni	nheþ	tjón
sem	ct	sem
þær	fpvfn	hún
og	c	og
björgunarsveitarmenn	nkfn	björgunarsveitarmaður
,	,	,
vegna	ae	vegna
persónulegra	lkfesf	persónulegur
muna	nkfe	munur
,	,	,
kunna	sfg3fn	kunna
að	cn	að
verða	sng	verða
fyrir	aa	fyrir
á	aþ	á
eigum	nvfþ	eiga
sínum	fevfþ	sinn
við	ao	við
æfingar	nvfo	æfing
,	,	,
björgun	nveo	björgun
,	,	,
leit	nveo	leit
og	c	og
gæslu	nveo	gæsla
.	.	.
Björgunarsveitum	nvfþ	björgunarsveit
er	sfg3en	vera
skylt	lhensf	skyldur
að	cn	að
kaupa	sng	kaupa
ábyrgðartryggingar	nvfo	ábyrgðartrygging
sem	ct	sem
ná	sfg3fn	ná
til	ae	til
tjóns	nhee	tjón
sem	ct	sem
athafnir	nvfn	athöfn
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
kunna	sfg3fn	kunna
að	cn	að
valda	sng	valda
mönnum	nkfþ	maður
og	c	og
tjóns	nhee	tjón
á	aþ	á
dýrum	nhfþ	dýr
,	,	,
munum	nkfþ	munur
og	c	og
umhverfi	nheþ	umhverfi
.	.	.
III.	lkenvf	III.
KAFLI	nken	kafli
Gildistaka	nven	gildistaka
.	.	.
6.	ta	6.
gr.	as	gr.
Lög	nhfn	lag
þessi	fahfn	þessi
öðlast	sfm3fn	öðlast
gildi	nheo	gildi
1.	ta	1.
júlí	nkeo	júlí
2003	ta	2003
.	.	.
Athugasemdir	nvfn	athugasemd
við	ao	við
lagafrumvarp	nheo	lagafrumvarp
þetta	faheo	þessi
.	.	.
I.	ta	I.
Almennar	lvfnsf	almennur
athugasemdir	nvfn	athugasemd
.	.	.
Þann	fakeo	sá
15.	ta	15.
apríl	nkeo	apríl
1997	ta	1997
,	,	,
skipaði	sfg3eþ	skipa
dóms-	nheng	dómsmálaráðuneyti
og	c	og
kirkjumálaráðuneytið	nheng	kirkjumálaráðuneyti
nefnd	nveo	nefnd
til	ae	til
þess	fphee	það
að	cn	að
semja	sng	semja
drög	nhfo	drag
að	aþ	að
frumvarpi	nheþ	frumvarp
til	ae	til
laga	nhfe	lag
um	ao	um
hlutverk	nheo	hlutverk
björgunarsveita	nvfe	björgunarsveit
,	,	,
samstarf	nheo	samstarf
þeirra	fpvfe	hún
við	ao	við
lögreglu	nveo	lögregla
,	,	,
almannavarnir	nvfo	almannavarnir
og	c	og
önnur	fohfo	annar
stjórnvöld	nhfo	stjórnvald
,	,	,
svo	aa	svo
og	c	og
um	ao	um
réttindi	nhfo	réttindi
og	c	og
skyldur	nvfo	skylda
björgunarsveita	nvfe	björgunarsveit
og	c	og
félagsmanna	nkfe	félagsmaður
þeirra	fpvfe	hún
,	,	,
þar	aa	þar
sem	c	sem
m.a.	as	m.a.
skyldi	svg3eþ	skulu
kveðið	sþghen	kveða
á	aa	á
um	ao	um
ábyrgð	nveo	ábyrgð
á	aþ	á
tjóni	nheþ	tjón
sem	ct	sem
björgunarsveitir	nvfn	björgunarsveit
eða	c	eða
björgunarsveitarmenn	nkfn	björgunarsveitarmaður
kunna	sfg3fn	kunna
að	cn	að
verða	sng	verða
fyrir	aa	fyrir
við	ao	við
störf	nhfo	starf
í	aþ	í
þágu	nveþ	þága
almannaheilla	nvfe	almannaheill
og	c	og
um	ao	um
ábyrgð	nveo	ábyrgð
á	aþ	á
tjóni	nheþ	tjón
sem	ct	sem
kunna	sfg3fn	kunna
að	cn	að
hljótast	snm	hljóta
af	aþ	af
störfum	nhfþ	starf
þeirra	fpvfe	hún
vegna	ae	vegna
mistaka	nhfe	mistak
eða	c	eða
af	aþ	af
öðrum	fovfþ	annar
ástæðum	nvfþ	ástæða
.	.	.
Nefndin	nveng	nefnd
kom	sfg3eþ	koma
saman	aa	saman
nokkrum	fohfþ	nokkur
sinnum	nhfþ	sinn
á	aþ	á
árinu	nheþg	ár
1997	ta	1997
en	c	en
nefndarstörf	nhfn	nefndarstarf
lágu	sfg3fþ	liggja
síðan	aa	síðan
niðri	aa	niðri
um	ao	um
alllangt	lheosf	alllangur
skeið	nheo	skeið
.	.	.
Nefndin	nveng	nefnd
tók	sfg3eþ	taka
til	ae	til
starfa	nhfe	starf
að	aþ	að
nýju	lheþsf	nýr
í	aþ	í
apríl	nkeþ	apríl
2001	ta	2001
.	.	.
Inn	aa	inn
í	ao	í
nefndina	nveog	nefnd
komu	sfg3fþ	koma
Guðmundur	nken-s	Guðmundur
Sophusson	nken-s	Sophusson
sýslumaður	nken	sýslumaður
sem	c	sem
formaður	nken	formaður
og	c	og
Sveinn	nken-s	Sveinn
Magnússon	nken-s	Magnússon
,	,	,
skrifstofustjóri	nken	skrifstofustjóri
í	aþ	í
heilbrigðis-	nheþg	heilbrigðisráðuneyti
og	c	og
tryggingamálaráðuneytinu	nheþg	tryggingamálaráðuneyti
,	,	,
en	c	en
fyrir	aa	fyrir
voru	sfg3fþ	vera
Gunnar	nken-s	Gunnar
Tómasson	nken-s	Tómasson
og	c	og
Ólafur	nken-s	Ólafur
Proppé	nken-s	Proppé
frá	aþ	frá
Slysavarnafélaginu	nheþgs	Slysavarnafélag
Landsbjörg	nveþ-s	Landsbjörg
og	c	og
Jón	nken-s	Jón
Magnússon	nken-s	Magnússon
,	,	,
viðskiptafræðingur	nken	viðskiptafræðingur
í	aþ	í
fjármálaráðuneytinu	nheþg	fjármálaráðuneyti
.	.	.
Bogi	nken-s	Bogi
Hjálmtýsson	nken-s	Hjálmtýsson
,	,	,
lögfræðingur	nken	lögfræðingur
hjá	aþ	hjá
sýslumannsembættinu	nheþg	sýslumannsembætti
í	aþ	í
Hafnarfirði	nkeþ-s	Hafnarfjörður
,	,	,
aðstoðaði	sfg3eþ	aðstoða
nefndina	nveog	nefnd
en	c	en
ritari	nken	ritari
var	sfg3eþ	vera
Sandra	nven-s	Sandra
Baldvinsdóttir	nven-s	Baldvinsdóttir
,	,	,
lögfræðingur	nken	lögfræðingur
í	aþ	í
dóms-	nheþg	dómsmálaráðuneyti
og	c	og
kirkjumálaráðuneytinu	nheþg	kirkjumálaráðuneyti
.	.	.
Nefndarstörfum	nhfþ	nefndarstarf
lauk	sfg3eþ	ljúka
í	aþ	í
júní	nkeþ	júní
2001	ta	2001
með	aþ	með
því	fpheþ	það
að	cn	að
senda	sng	senda
dóms-	nheþg	dómsmálaráðuneyti
og	c	og
kirkjumálaráðuneytinu	nheþg	kirkjumálaráðuneyti
drög	nhfo	drag
að	aþ	að
frumvarpi	nheþ	frumvarp
til	ae	til
laga	nhfe	lag
um	ao	um
björgunarsveitir	nvfo	björgunarsveit
og	c	og
björgunarsveitarmenn	nkfo	björgunarsveitarmaður
,	,	,
ásamt	aþ	ásamt
greinargerð	nveþ	greinargerð
.	.	.
II.	ta	II.
Helstu	lvfnve	heldri
breytingar	nvfn	breyting
og	c	og
nýmæli	nhfn	nýmæli
frumvarpsins	nheeg	frumvarp
.	.	.
Í	aþ	í
íslenskri	lveþsf	íslenskur
löggjöf	nveþ	löggjöf
er	sfg3en	vera
ekki	aa	ekki
að	cn	að
finna	sng	finna
ákvæði	nhfo	ákvæði
um	ao	um
björgunarsveitir	nvfo	björgunarsveit
eða	c	eða
björgunarsveitarmenn	nkfo	björgunarsveitarmaður
.	.	.
Heitið	nheog	heiti
björgunarmenn	nkfo	björgunarmaður
er	sfg3en	vera
að	cn	að
finna	sng	finna
í	aþ	í
siglingalögum	nhfþ	siglingalög
,	,	,
nr.	as	nr.
34/1985	ta	34/1985
.	.	.
Í	aþ	í
lögum	nhfþ	lag
nr.	as	nr.
59/1996	ta	59/1996
,	,	,
um	ao	um
rannsókn	nveo	rannsókn
flugslysa	nhfe	flugslys
,	,	,
er	sfg3en	vera
notað	sþghen	nota
heitið	nheng	heiti
björgunar-	nhen	björgunarlið
og	c	og
hjálparlið	nhen	hjálparlið
.	.	.
Í	aþ	í
lögum	nhfþ	lag
nr.	as	nr.
94/1962	ta	94/1962
,	,	,
um	ao	um
almannavarnir	nvfo	almannavarnir
,	,	,
er	sfg3en	vera
talað	sþghen	tala
um	ao	um
hjálparlið	nheo	hjálparlið
.	.	.
Í	aþ	í
lögum	nhfþ	lag
nr.	as	nr.
19/1940	ta	19/1940
,	,	,
almennum	lhfþsf	almennur
hegningarlögum	nhfþ	hegningarlög
,	,	,
er	sfg3en	vera
talað	sþghen	tala
um	ao	um
björgunarlið	nheo	björgunarlið
og	c	og
annað	foheo	annar
hjálparlið	nheo	hjálparlið
.	.	.
Í	aþ	í
lögreglulögum	nhfþ	lögreglulög
,	,	,
nr.	as	nr.
90/1996	ta	90/1996
,	,	,
segir	sfg3en	segja
í	aþ	í
3.	ta	3.
mgr.	as	mgr.
6.	ta	6.
gr.	as	gr.
að	c	að
lögreglustjórar	nkfn	lögreglustjóri
fari	svg3fn	fara
með	ao	með
yfirstjórn	nveo	yfirstjórn
leitar-	nvfe	leitaraðgerð
og	c	og
björgunaraðgerða	nvfe	björgunaraðgerð
á	aþ	á
landi	nheþ	land
.	.	.
Um	ao	um
björgun	nveo	björgun
sem	ct	sem
heyrir	sfg3en	heyra
undir	ao	undir
skipulag	nheo	skipulag
almannavarna	nvfe	almannavarnir
gilda	sfg3fn	gilda
sérstök	lhfnsf	sérstakur
lög	nhfn	lag
.	.	.
Ráðherra	nken	ráðherra
setur	sfg3en	setja
reglur	nvfo	regla
um	ao	um
samstarf	nheo	samstarf
lögreglu	nvee	lögregla
og	c	og
björgunarsveita	nvfe	björgunarsveit
.	.	.
Í	aþ	í
7.	ta	7.
mgr.	as	mgr.
9.	ta	9.
gr.	as	gr.
sömu	fbhfe	sami
laga	nhfe	lag
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
að	c	að
þeir	fakfn	sá
sem	ct	sem
kvaddir	sþgkfn	kveðja
séu	svg3fn	vera
til	ae	til
aðstoðar	nvee	aðstoð
lögreglu	nveþ	lögregla
lögum	nhfþ	lag
samkvæmt	aþ	samkvæmt
fari	svg3fn	fara
með	ao	með
lögregluvald	nheo	lögregluvald
meðan	c	meðan
þeir	fpkfn	hann
gegna	sfg3fn	gegna
starfanum	nkeþg	starfi
og	c	og
er	sfg3en	vera
sambærilegt	lhensf	sambærilegur
ákvæði	nhen	ákvæði
í	aþ	í
2.	ta	2.
mgr.	as	mgr.
20.	ta	20.
gr.	as	gr.
sömu	fbhfe	sami
laga	nhfe	lag
.	.	.
Lengi	aa	lengi
hafa	sfg3fn	hafa
fjölmargir	lkfnsf	fjölmargur
einstaklingar	nkfn	einstaklingur
starfað	ssg	starfa
í	aþ	í
félögum	nhfþ	félag
og	c	og
samtökum	nhfþ	samtök
sem	ct	sem
sjálfboðaliðar	nkfn	sjálfboðaliði
við	ao	við
slysavarna-	nhfo	slysavarnastarf
og	c	og
björgunarstörf	nhfo	björgunarstarf
.	.	.
Enginn	foken	enginn
efast	sfm3en	efa
um	ao	um
mikilvægi	nheo	mikilvægi
þessa	fahee	þessi
óeigingjarna	lheevf	óeigingjarn
og	c	og
mikla	lheevf	mikill
starfs	nhee	starf
í	aþ	í
þágu	nveþ	þága
almannaheilla	nvfe	almannaheill
.	.	.
Hins	fakee	hinn
vegar	nkee	vegur
hefur	sfg3en	hafa
réttarstaða	nven	réttarstaða
þeirra	fakfe	sá
einstaklinga	nkfe	einstaklingur
sem	ct	sem
vinna	sfg3fn	vinna
við	ao	við
björgunarstörf	nhfo	björgunarstarf
verið	ssg	vera
afar	aa	afar
óljós	lvensf	óljós
en	c	en
markmiðið	nheng	markmið
með	aþ	með
lagasetningu	nveþ	lagasetning
um	ao	um
björgunarsveitir	nvfo	björgunarsveit
og	c	og
björgunarsveitarmenn	nkfo	björgunarsveitarmaður
er	sfg3en	vera
að	cn	að
draga	sng	draga
úr	aþ	úr
óvissu	nveþ	óvissa
.	.	.
Hér	aa	hér
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
hlutverk	nheo	hlutverk
björgunarsveita	nvfe	björgunarsveit
og	c	og
björgunarsveitarmanna	nkfe	björgunarsveitarmaður
við	ao	við
björgunar-	nvfo	björgunaræfing
og	c	og
leitaræfingar	nvfo	leitaræfing
,	,	,
við	ao	við
björgun	nveo	björgun
,	,	,
leit	nveo	leit
og	c	og
gæslu	nveo	gæsla
manna	nkfe	maður
og	c	og
verðmæta	nhfe	verðmæti
og	c	og
skyldu	nveo	skylda
þeirra	fpkfe	hann
við	ao	við
stjórnvöld	nhfo	stjórnvald
og	c	og
almenning	nkeo	almenningur
auk	ae	auk
þess	fphee	það
að	cn	að
kveða	sng	kveða
á	aa	á
um	ao	um
réttindi	nhfo	réttindi
þessara	fakfe	þessi
sömu	fbkfe	sami
aðila	nkfe	aðili
,	,	,
sérstaklega	aa	sérstaklega
varðandi	slg	varða
ábyrgð	nveo	ábyrgð
og	c	og
tryggingar	nvfo	trygging
.	.	.
Athugasemdir	nvfn	athugasemd
við	ao	við
einstakar	lvfosf	einstakur
greinar	nvfo	grein
frumvarpsins	nheeg	frumvarp
.	.	.
Um	ao	um
1.	ta	1.
gr.	as	gr.
Starfandi	slg	starfa
eru	sfg3fn	vera
ein	lhfnsf	einn
viðurkennd	lhfnsf	viðurkenndur
heildarsamtök	nhfn	heildarsamtök
björgunarsveita	nvfe	björgunarsveit
,	,	,
Slysavarnafélagið	nhengs	Slysavarnafélag
Landsbjörg	nven-s	Landsbjörg
.	.	.
Félagið	nheng	félag
var	sfg3eþ	vera
stofnað	sþghen	stofna
2.	ta	2.
október	nkeo	október
1999	ta	1999
með	aþ	með
sameiningu	nveþ	sameining
Slysavarnafélags	nhee-s	Slysavarnafélag
Íslands	nhee-s	Ísland
og	c	og
Landsbjargar	nvee-s	Landsbjörg
,	,	,
landssambands	nhee	landssamband
björgunarsveita	nvfe	björgunarsveit
.	.	.
Slysavarnafélagið	nhengs	Slysavarnafélag
Landsbjörg	nven-s	Landsbjörg
hefur	sfg3en	hafa
innan	ae	innan
sinna	fehfe	sinn
vébanda	nhfe	vébönd
5.000	ta	5.000
björgunarsveitarmenn	nkfo	björgunarsveitarmaður
.	.	.
Björgunarsveitarmenn	nkfn	björgunarsveitarmaður
innan	ae	innan
samtakanna	nhfeg	samtök
starfa	sfg3fn	starfa
í	aþ	í
yfir	aa	yfir
100	ta	100
björgunarsveitum	nvfþ	björgunarsveit
sem	ct	sem
dreifðar	lvfnsf	dreifður
eru	sfg3fn	vera
um	ao	um
allt	foheo	allur
land	nheo	land
.	.	.
Sveitir	nvfn	sveit
þessar	favfn	þessi
eru	sfg3fn	vera
misstórar	lvfnsf	misstór
og	c	og
öflugar	lvfnsf	öflugur
eftir	aþ	eftir
stærð	nveþ	stærð
og	c	og
gerð	nveþ	gerð
byggðalaga	nhfe	byggðarlag
sem	ct	sem
þær	fpvfn	hún
starfa	sfg3fn	starfa
í	aa	í
.	.	.
Innan	ae	innan
björgunarsveita	nvfe	björgunarsveit
starfa	sfg3fn	starfa
sérhæfðir	lkfnsf	sérhæfður
hópar	nkfn	hópur
á	aþ	á
ýmsum	fohfþ	ýmis
sviðum	nhfþ	svið
,	,	,
svo	aa	svo
sem	c	sem
í	aþ	í
sjóbjörgun	nveþ	sjóbjörgun
,	,	,
fjallabjörgun	nveþ	fjallabjörgun
,	,	,
rústabjörgun	nveþ	rústabjörgun
,	,	,
fyrstu	lveþve	fyrstur
hjálp	nveþ	hjálp
,	,	,
köfun	nveþ	köfun
og	c	og
svo	aa	svo
framvegis	aa	framvegis
.	.	.
Félagar	nkfn	félagi
í	aþ	í
Slysavarnafélaginu	nheþgs	Slysavarnafélag
Landsbjörg	nveþ-s	Landsbjörg
hljóta	sfg3fn	hljóta
þjálfun	nveo	þjálfun
samkvæmt	aþ	samkvæmt
samhæfðu	lheþsf	samhæfður
námskerfi	nheþ	námskerfi
sem	ct	sem
Björgunarskóli	nken-s	björgunarskóli
Slysavarnafélagsins	nheegs	Slysavarnafélag
Landsbjargar	nvee-s	Landsbjörg
hefur	sfg3en	hafa
skipulagt	ssg	skipuleggja
fyrir	ao	fyrir
félaga	nkfo	félagi
sveitanna	nvfeg	sveit
.	.	.
Árlega	aa	árlega
eru	sfg3fn	vera
haldin	sþghfn	halda
um	aa	um
300	ta	300
námskeið	nhfn	námskeið
fyrir	ao	fyrir
björgunarsveitarmenn	nkfo	björgunarsveitarmaður
um	ao	um
land	nheo	land
allt	foheo	allur
á	aþ	á
vegum	nkfþ	vegur
skólans	nkeeg	skóli
.	.	.
Starf	nhen	starf
björgunarsveita	nvfe	björgunarsveit
Slysavarnafélagsins	nheegs	Slysavarnafélag
Landsbjargar	nvee-s	Landsbjörg
er	sfg3en	vera
skipulagt	sþghen	skipuleggja
á	ao	á
landsvísu	nveo	landsvísa
á	ao	á
þann	fakeo	sá
hátt	nkeo	háttur
að	c	að
starfað	sþghen	starfa
er	sfg3en	vera
á	aþ	á
18	ta	18
svæðum	nhfþ	svæði
með	aþ	með
skipulagðri	lveþsf	skipulagður
svæðisstjórn	nveþ	svæðisstjórn
.	.	.
Svæðisstjórnir	nvfn	svæðisstjórn
stjórna	sfg3fn	stjórna
björgunaraðgerðum	nvfþ	björgunaraðgerð
innan	ae	innan
hvers	fohee	hver
svæðis	nhee	svæði
í	aþ	í
umboði	nheþ	umboð
sveitanna	nvfeg	sveit
.	.	.
Til	ae	til
að	cn	að
samræma	sng	samræma
störf	nhfo	starf
svæðisstjórna	nvfe	svæðisstjórn
á	ao	á
landsvísu	nveo	landsvísa
er	sfg3en	vera
starfandi	slg	starfa
Landsstjórn	nven-s	Landsstjórn
björgunarsveita	nvfe	björgunarsveit
sem	ct	sem
hefur	sfg3en	hafa
það	faheo	sá
hlutverk	nheo	hlutverk
að	cn	að
samhæfa	sng	samhæfa
störf	nhfo	starf
svæðisstjórna	nvfe	svæðisstjórn
og	c	og
getur	sfg3en	geta
tekið	ssg	taka
við	aþ	við
stjórnun	nveþ	stjórnun
aðgerða	nvfe	aðgerð
á	aþ	á
einstökum	lhfþsf	einstakur
svæðum	nhfþ	svæði
ef	c	ef
ástæða	nven	ástæða
er	sfg3en	vera
til	aa	til
.	.	.
Sjá	sng	sjá
enn	aa	enn
fremur	aam	fremur
fylgiskjal	nheo	fylgiskjal
með	aþ	með
umfjöllun	nveþ	umfjöllun
um	ao	um
Slysavarnafélagið	nheogs	Slysavarnafélag
Landsbjörg	nveo-s	Landsbjörg
.	.	.
Um	ao	um
2.	ta	2.
gr.	as	gr.
Hvað	fshen	hver
varðar	sfg3en	varða
skilgreiningu	nveo	skilgreining
á	aþ	á
stjórnvöldum	nhfþ	stjórnvald
í	aþ	í
3.	ta	3.
mgr.	as	mgr.
skal	sfg3en	skulu
tekið	sþghen	taka
fram	aa	fram
að	c	að
þau	fahfn	sá
stjórnvöld	nhfn	stjórnvald
sem	ct	sem
núna	aa	núna
eiga	sfg3fn	eiga
hlut	nkeo	hlutur
að	aþ	að
björgunarmálum	nhfþ	björgunarmál
eru	sfg3fn	vera
dómsmálaráðuneyti	nhen	dómsmálaráðuneyti
,	,	,
samgönguráðuneyti	nhen	samgönguráðuneyti
,	,	,
almannavarnaráð	nhen	almannavarnaráð
,	,	,
almannavarnanefndir	nvfn	almannavarnanefnd
,	,	,
flugmálastjórn	nven	flugmálastjórn
,	,	,
rannsóknarnefnd	nven	rannsóknarnefnd
flugslysa	nhfe	flugslys
,	,	,
landhelgisgæslan	nveng	landhelgisgæsla
,	,	,
ríkislögreglustjóri	nken	ríkislögreglustjóri
,	,	,
lögreglustjórinn	nkeng	lögreglustjóri
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
og	c	og
sýslumenn	nkfn	sýslumaður
sem	c	sem
lögreglustjórar	nkfn	lögreglustjóri
.	.	.
Hvað	fshen	hver
hugtakið	nheng	hugtak
gæslu	nveo	gæsla
snertir	sfg3en	snerta
ber	sfg3en	bera
að	cn	að
hafa	sng	hafa
í	aþ	í
huga	nkeþ	hugi
að	c	að
víða	aa	víða
erlendis	aa	erlendis
styðjast	sfm3fn	styðja
stjórnvöld	nhfn	stjórnvald
við	ao	við
her	nkeo	her
eða	c	eða
heimarvarnarlið	nheo	heimarvarnarlið
til	ae	til
þess	fphee	það
að	cn	að
loka	sng	loka
svæðum	nhfþ	svæði
vegna	ae	vegna
hættuástands	nhee	hættuástand
,	,	,
svo	aa	svo
sem	c	sem
vegna	ae	vegna
stórslysa	nhfe	stórslys
eða	c	eða
náttúruhamfara	nvfe	náttúruhamfarir
.	.	.
Hér	aa	hér
á	aþ	á
