lifandi	lheþof	lifandi
frá	aþ	frá
kl.	as	kl.
9-17	ta	9-17
.	.	.
Kvenfélagið	nheng	kvenfélag
Fjallkonurnar	nvfngs	Fjallkona
,	,	,
farið	sþghen	fara
verður	sfg3en	verða
í	ao	í
ferðalagið	nheog	ferðalag
laugardaginn	nkeog	laugardagur
31.	ta	31.
ágúst	nkeo	ágúst
.	.	.
Mæting	nven	mæting
stundvíslega	aa	stundvíslega
kl.	as	kl.
9	ta	9
við	ao	við
Fellaskóla	nkeo-s	Fellaskóli
.	.	.
(	(	(
Kor.	as	Kor.
16	ta	16
,	,	,
13-14.	ta	13-14.
)	)	)
Skipin	nhfng	skip
Reykjavíkurhöfn	nven-s	Reykjavíkurhöfn
:	:	:
Carr	e	Carr
kemur	sfg3en	koma
og	c	og
fer	sfg3en	fara
í	ao	í
dag	nkeo	dagur
.	.	.
Þerney	nven-s	Þerney
,	,	,
Vigri	nken-s	Vigri
,	,	,
Vædderen	e	Vædderen
,	,	,
Tokuju	e	Tokuju
Maru	e	Maru
og	c	og
Mánafoss	nken-s	Mánafoss
koma	sfg3fn	koma
í	ao	í
dag	nkeo	dagur
.	.	.
Björn	nken-s	Björn
RE	as	RE
,	,	,
Dettifoss	nken-s	Dettifoss
,	,	,
Freyja	nven-s	Freyja
,	,	,
Helgafell	nhen-s	Helgafell
og	c	og
Bro	e	Bro
Atland	e	Atland
fara	sfg3fn	fara
í	ao	í
dag	nkeo	dagur
.	.	.
Mannamót	nhfn	mannamót
Aflagrandi	nken-s	Aflagrandi
40	ta	40
.	.	.
Vetrarstarfið	nheng	vetrarstarf
er	sfg3en	vera
að	cn	að
hefjast	snm	hefja
skráning	nven	skráning
stendur	sfg3en	standa
yfir	aa	yfir
í	ao	í
eftirtalin	lhfosf	eftirtalinn
námskeið	nhfo	námskeið
:	:	:
leikfimi	nven	leikfimi
,	,	,
postulínsmálning	nven	postulínsmálning
,	,	,
myndmennt	nven	myndmennt
,	,	,
enska	nven	enska
,	,	,
og	c	og
jóga	nhen	jóga
ef	c	ef
næg	lvensf	nægur
þátttaka	nven	þátttaka
fæst	sfm3en	fá
.	.	.
Skráning	nven	skráning
og	c	og
upplýsingar	nvfn	upplýsing
í	aþ	í
afgreiðslu	nveþ	afgreiðsla
,	,	,
s.	as	s.
5622571	ta	5622571
.	.	.
Árskógar	nkfn-s	Árskógar
4	ta	4
.	.	.
Kl.	as	kl.
9-12	ta	9-12
baðþjónusta	nven	baðþjónusta
,	,	,
kl.	as	kl.
9	ta	9
leikfimi	nven	leikfimi
,	,	,
kl.	as	kl.
9.45-10	ta	9.45-10
helgistund	nven	helgistund
,	,	,
kl.	as	kl.
11	ta	11
boccia	e	boccia
,	,	,
kl.	as	kl.
13.30	ta	13.30
gönguhópur	nken	gönguhópur
,	,	,
lengri	lvenvm	langur
ganga	nven	ganga
.	.	.
Púttvöllurinn	nkeng	púttvöllur
er	sfg3en	vera
opin	x	opinn
kl.	as	kl.
10-16	ta	10-16
alla	fokfo	allur
daga	nkfo	dagur
.	.	.
Allar	fovfn	allur
upplýsingar	nvfn	upplýsing
í	aþ	í
s.	as	s.
5352700	ta	5352700
.	.	.
Myndlist	nven	myndlist
byrjar	sfg3en	byrja
mánudaginn	nkeog	mánudagur
16.	ta	16.
sept.	as	sept.
kl.	as	kl.
16	ta	16
.	.	.
Bólstaðarhlíð	nven-s	Bólstaðarhlíð
43	ta	43
.	.	.
Kl.	as	kl.
8-16	ta	8-16
hárgreiðsla	nven	hárgreiðsla
,	,	,
kl.	as	kl.
8.30-14.30	ta	8.30-14.30
böðun	nven	böðun
,	,	,
kl.	as	kl.
9-09.45	ta	9-09.45
leikfimi	nven	leikfimi
,	,	,
kl.	as	kl.
9-12	ta	9-12
myndlist	nven	myndlist
,	,	,
kl.	as	kl.
9-16	ta	9-16
almenn	lvensf	almennur
handavinna	nven	handavinna
,	,	,
kl.	as	kl.
9-17	ta	9-17
fótaaðgerð	nven	fótaaðgerð
,	,	,
kl.	as	kl.
13.	ta	13.
bókband	nhen	bókband
,	,	,
14-15	ta	14-15
dans	nken	dans
.	.	.
Þriðjudaginn	nkeog	þriðjudagur
17.	ta	17.
september	nkeo	september
kl.	as	kl.
12.30	ta	12.30
.	.	.
Haustlitaferð	nven	haustlitaferð
í	ao	í
Skorradalinn	nkeogs	Skorradalur
.	.	.
Ullarselið	nhengs	Ullarselið
á	aþ	á
Hvanneyri	nveþ-s	Hvanneyri
heimsótt	sþghen	heimsækja
.	.	.
Kaffiveitingar	nvfn	kaffiveitingar
á	aþ	á
Hvanneyri	nveþ-s	Hvanneyri
.	.	.
Skráning	nven	skráning
og	c	og
greiðsla	nven	greiðsla
í	aþ	í
síðasta	lheþve	síðari
lagi	nheþ	lag
miðvikudaginn	nkeog	miðvikudagur
11.	ta	11.
sept.	as	sept.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
5685052	ta	5685052
.	.	.
Félagsstarfið	nheng	félagsstarf
Dalbraut	nveþ-s	Dalbraut
18-20	ta	18-20
.	.	.
Kl.	as	kl.
9-14	ta	9-14
baðþjónusta	nven	baðþjónusta
,	,	,
kl.	as	kl.
9-16.45	ta	9-16.45
opin	lvensf	opinn
handavinnustofan	nveng	handavinnustofa
,	,	,
kl.	as	kl.
14-15	ta	14-15
söngstund	nven	söngstund
,	,	,
hárgreiðslustofan	nveng	hárgreiðslustofa
opin	lvensf	opinn
kl.	as	kl.
9-16.45	ta	9-16.45
alla	fokfo	allur
daga	nkfo	dagur
nema	c	nema
mánudaga	nkfo	mánudagur
.	.	.
Félagsstarfið	nheng	félagsstarf
,	,	,
Lönguhlíð	nveþ-s	Langahlíð
3	ta	3
.	.	.
Kl.	as	kl.
8	ta	8
böðun	nven	böðun
,	,	,
kl.	as	kl.
9	ta	9
fótaaðgerð	nven	fótaaðgerð
,	,	,
kl.	as	kl.
10	ta	10
hársnyrting	nven	hársnyrting
,	,	,
kl.	as	kl.
13	ta	13
föndur	nhen	föndur
og	c	og
handavinna	nven	handavinna
.	.	.
Félagsstarf	nhen	félagsstarf
aldraðra	lkfesf	aldraður
Garðabæ	nkeþ-s	Garðabær
.	.	.
Leikfimi	nven	leikfimi
karla	nkfe	karl
byrjar	sfg3en	byrja
5.	ta	5.
sept.	as	sept.
kl.	as	kl.
13	ta	13
,	,	,
leikfimi	nven	leikfimi
kvenna	nvfe	kona
er	sfg3en	vera
byrjuð	sþgven	byrja
.	.	.
Leikfimi	nven	leikfimi
karla	nkfe	karl
verður	sfg3en	verða
á	aþ	á
þriðju-	nkfþ	þriðjudagur
og	c	og
fimmtudögum	nkfþ	fimmtudagur
,	,	,
leikfimi	nven	leikfimi
kvenna	nvfe	kona
á	aþ	á
mánu-	nkfþ	mánudagur
og	c	og
miðvikudögum	nkfþ	miðvikudagur
.	.	.
Skráning	nven	skráning
í	ao	í
hópastarfið	nheog	hópastarf
hefst	sfm3en	hefja
9.-10.	ta	9.-10.
og	c	og
11.	ta	11.
sept.	as	sept.
kl.	as	kl.
14-15	ta	14-15
í	aþ	í
Félagsmiðstöðinni	nveþgs	Félagsmiðstöð
í	aþ	í
Kirkjuhvoli	nkeþ-s	Kirkjuhvoll
.	.	.
Kynning	nven	kynning
á	aþ	á
félagsstarfinu	nheþg	félagsstarf
á	aþ	á
haustönn	nveþ	haustönn
verður	sfg3en	verða
í	aþ	í
Kirkjuhvoli	nkeþ-s	Kirkjuhvoll
12.	ta	12.
sept.	as	sept.
kl.	as	kl.
14	ta	14
.	.	.
Fótaaðgerðarstofan	nveng	fótaaðgerðarstofa
í	aþ	í
síma	nkeþ	sími
8994223	ta	8994223
.	.	.
Garðakórinn	nkengs	Garðakór
-	-	-
æfinar	x	æfinar
eru	sfg3fn	vera
byrjaðar	sþgvfn	byrja
á	aþ	á
mánud.	as	mánud.
kl.	as	kl.
17-19	ta	17-19
í	aþ	í
Kirkjuhvoli	nkeþ-s	Kirkjuhvoll
.	.	.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Ferð	nven	ferð
eldri	lkfevm	gamall
borgara	nkfe	borgari
á	ao	á
Akranes	nheo-s	Akranes
14.	ta	14.
sept.	as	sept.
Skráning	nven	skráning
hjá	aþ	hjá
Arndísi	nveþ-s	Arndís
s.	as	s.
5657826	ta	5657826
og	c	og
8957826	ta	8957826
.	.	.
Félag	nhen-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
Hafnarfirði	nkeþ-s	Hafnarfjörður
,	,	,
Hraunseli	nheþ-s	Hraunsel
,	,	,
Flatahrauni	nheþ-s	Flatahraun
3	ta	3
.	.	.
Boccia	e	Boccia
kl.	as	kl.
13	ta	13
.	.	.
Á	ao	á
morgun	nkeo	morgunn
brids	nhen	brids
kl.	as	kl.
13.30	ta	13.30
og	c	og
púttmót	nhen	púttmót
við	ao	við
púttklúbb	nkeo	púttklúbbur
Hrafnistu	nvee-s	Hrafnista
á	aþ	á
Hrafnistuvelli	nkeþ-s	Hrafnistuvöllur
,	,	,
mæting	nven	mæting
kl.	as	kl.
13	ta	13
.	.	.
Orlofsferð	nven	orlofsferð
að	aþ	að
Höfðabrekku	nveþ-s	Höfðabrekka
10.-13.	ta	10.-13.
sept.	as	sept.
nokkur	fohfn	nokkur
herbergi	nhfn	herbergi
laus	lhfnsf	laus
,	,	,
hafið	sbg2fn	hafa
samband	nheo	samband
við	ao	við
Hraunsel	nheo-s	Hraunsel
,	,	,
s.	as	s.
5550142	ta	5550142
.	.	.
Glerskurður	nken	glerskurður
,	,	,
skráning	nven	skráning
hafin	lvensf	hafinn
í	aþ	í
Hraunseli	nheþ-s	Hraunsel
.	.	.
Biljardstofan	nveng	biljarðstofa
opinn	x	opinn
virka	lkfosf	virkur
daga	nkfo	dagur
kl.	as	kl.
13.30	ta	13.30
til	aa	til
16	ta	16
skráið	sbg2fn	skrá
ykkur	fp2fo	þú
í	ao	í
tíma	nkfo	tími
í	aþ	í
Hraunseli	nheþ-s	Hraunsel
,	,	,
s.	as	s.
5550142	ta	5550142
.	.	.
Félag	nhen-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
,	,	,
Reykjavík	nveþ-s	Reykjavík
,	,	,
Ásgarði	nkeþ-s	Ásgarður
,	,	,
Glæsibæ	nkeþ-s	Glæsibær
.	.	.
Kaffistofan	nveng	kaffistofa
opin	lvensf	opinn
virka	lkfosf	virkur
daga	nkfo	dagur
frá	aþ	frá
kl.	as	kl.
10-13	ta	10-13
.	.	.
Kaffi	nhen	kaffi
,	,	,
blöðin	nhfng	blað
og	c	og
matur	nken	matur
í	aþ	í
hádegi	nheþ	hádegi
.	.	.
Félagið	nheng	félag
hefur	sfg3en	hafa
opnað	ssg	opna
heimasíðu	nveo	heimasíða
www.feb.is	v	www.feb.is
.	.	.
Fimmtudagur	nken	fimmtudagur
:	:	:
Brids	nhen	brids
kl.	as	kl.
13	ta	13
.	.	.
Opið	lhensf	opinn
húsið	nheng	hús
hjá	aþ	hjá
Félagi	nheþ-s	Félag
eldri	lkfevm	gamall
borgara	nkfe	borgari
laugardaginn	nkeog	laugardagur
7.	ta	7.
september	nkeo	september
kl.	as	kl.
14-16	ta	14-16
í	aþ	í
Ásgarði	nkeþ-s	Ásgarður
,	,	,
Glæsibæ	nkeþ-s	Glæsibær
.	.	.
Kynning	nven	kynning
á	aþ	á
starfi	nheþ	starf
og	c	og
markmiði	nheþ	markmið
félagsins	nheeg	félag
.	.	.
Félagar	nkfn	félagi
eru	sfg3fn	vera
hvattir	sþgkfn	hvetja
til	ae	til
að	cn	að
mæta	sng	mæta
og	c	og
takið	sbg2fn	taka
nýja	lkfosf	nýr
félaga	nkfo	félagi
með	aa	með
.	.	.
Réttarferð	nven	réttarferð
í	ao	í
Þverárrétt	nveo-s	Þverárrétt
15.	ta	15.
september	nkeo	september
.	.	.
Leiðsögumaður	nken	leiðsögumaður
Sigurður	nken-s	Sigurður
Kristinsson	nken-s	Kristinsson
.	.	.
Einnig	aa	einnig
verður	sfg3en	verða
komið	sþghen	koma
í	ao	í
Reykholt	nheo-s	Reykholt
og	c	og
að	aþ	að
Deildartunguhver	nkeþ-s	Deildartunguhver
.	.	.
Brottför	nven	brottför
frá	aþ	frá
Ásgarði	nkeþ-s	Ásgarður
kl.	as	kl.
12	ta	12
.	.	.
Skráning	nven	skráning
hafin	sþgven	hefja
á	aþ	á
skrifstofu	nveþ	skrifstofa
FEB.	as	FEB.
Silfurlínan	nveng	silfurlína
er	sfg3en	vera
opin	lvensf	opinn
á	aþ	á
mánu-	nkfþ	mánudagur
og	c	og
miðvikudögum	nkfþ	miðvikudagur
kl.	as	kl.
10-12	ta	10-12
.	.	.
Skrifstofa	nven	skrifstofa
félagsins	nheeg	félag
er	sfg3en	vera
flutt	lvensf	fluttur
að	aþ	að
Faxafeni	nheþ-s	Faxafen
12	ta	12
,	,	,
s.	as	s.
5882111	ta	5882111
.	.	.
Félagsstarfið	nheng	félagsstarf
er	sfg3en	vera
áfram	aa	áfram
í	aþ	í
Ásgarði	nkeþ-s	Ásgarður
,	,	,
Glæsibæ	nkeþ-s	Glæsibær
.	.	.
Upplýsingar	nvfn	upplýsing
á	aþ	á
skrifstofu	nveþ	skrifstofa
FEB.	as	FEB.
Félagsstarfið	nheng	félagsstarf
Furugerði	nheþ-s	Furugerði
1	ta	1
.	.	.
Boccia	e	Boccia
kl.	as	kl.
13.30	ta	13.30
.	.	.
Leirnámskeiðið	nheng	leirnámskeið
byrjar	sfg3en	byrja
í	ao	í
dag	nkeo	dagur
og	c	og
einnig	aa	einnig
smíðar	nvfn	smíð
og	c	og
útskurður	nken	útskurður
.	.	.
Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
5536040	ta	5536040
.	.	.
Félagsstarfið	nheng	félagsstarf
,	,	,
Hæðargarði	nkeþ-s	Hæðargarður
31	ta	31
.	.	.
Kl.	as	kl.
9-12	ta	9-12
böðun	nven	böðun
,	,	,
kl.	as	kl.
9-16.30	ta	9-16.30
námskeið	nhen	námskeið
í	aþ	í
glerskurði	nkeþ	glerskurður
,	,	,
kl.	as	kl.
10	ta	10
leikfimi	nven	leikfimi
,	,	,
kl.	as	kl.
9-16.30	ta	9-16.30
hárgreiðslustofan	nveng	hárgreiðslustofa
opin	lvensf	opinn
.	.	.
Samkvæmisdansar	nkfn	samkvæmisdans
byrja	sfg3fn	byrja
10.	ta	10.
okt.	as	okt.
Landsbankinn	nkengs	Landsbanki
aðra	foveo	annar
hverja	foveo	hver
viku	nveo	vika
.	.	.
Sviðaveisla	nven	sviðaveisla
verður	sfg3en	verða
20.	ta	20.
sept.	as	sept.
kl.	as	kl.
12	ta	12
.	.	.
Kynning	nven	kynning
á	aþ	á
vetrarstarfi	nheþ	vetrarstarf
í	aþ	í
Félagsmiðstöðinni	nveþgs	Félagsmiðstöð
verður	sfg3en	verða
fimmtudaginn	nkeog	fimmtudagur
12.	ta	12.
sept.	as	sept.
kl.	as	kl.
13.30	ta	13.30
,	,	,
súkkulaði	nhen	súkkulaði
og	c	og
rjómaterta	nven	rjómaterta
í	aþ	í
kaffinu	nheþg	kaffi
.	.	.
Akstursþjónusta	nven	akstursþjónusta
í	ao	í
félagsmiðstöðina	nveog	félagsmiðstöð
,	,	,
sími	nken	sími
5683132	ta	5683132
Gerðuberg	nhen-s	Gerðuberg
,	,	,
félagsstarf	nhen	félagsstarf
.	.	.
Kl.	as	kl.
10.30	ta	10.30
helgistund	nven	helgistund
,	,	,
umsjón	nven	umsjón
Lilja	nven-s	Lilja
G.	as	G.
Hallgrímsdóttir	nven-s	Hallgrímsdóttir
,	,	,
djákni	nken	djákni
í	aþ	í
Fella-	nveþ-s	Fellakirkja
og	c	og
Hólakirkju	nveþ-s	Hólakirkja
,	,	,
frá	aþ	frá
hádegi	nheþ	hádegi
spilasalur	nken	spilasalur
og	c	og
vinnustofur	nvfn	vinnustofa
opin	lhfnsf	opinn
.	.	.
Myndlistarsýning	nven	myndlistarsýning
Huga	nkee-s	Hugi
Jóhannessonar	nkee-s	Jóhannesson
stendur	sfg3en	standa
yfir	aa	yfir
.	.	.
Glerskurður	nken	glerskurður
hefst	sfm3en	hefja
þriðjud.	as	þriðjud.
10.	ta	10.
sept.	as	sept.
Umsjón	nven	umsjón
Helga	nven-s	Helga
Vilmundardóttir	nven-s	Vilmundardóttir
.	.	.
Veitingar	nvfn	veiting
í	aþ	í
Kaffi	nheþ-s	Kaffi
Bergi	nheþ-s	Berg
föstudaginn	nkeog	föstudagur
6.	ta	6.
sept.	as	sept.
dansleikur	nken	dansleikur
,	,	,
hljómsveit	nven	hljómsveit
Hjördísar	nvee-s	Hjördís
Geirs	nkee-s	Geir
.	.	.
Grettir	nken-s	Grettir
Björnsson	nken-s	Björnsson
og	c	og
Ragnar	nken-s	Ragnar
Páll	nken-s	Páll
sjá	sfg3fn	sjá
um	ao	um
góða	lveosf	góður
stemningu	nveo	stemning
.	.	.
Húsið	nheng	hús
opnað	sþghen	opna
kl.	as	kl.
19.30	ta	19.30
.	.	.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Gjábakki	nken	gjábakki
,	,	,
Fannborg	nveþ-s	Fannborg
8	ta	8
.	.	.
Kl.	as	kl.
9.05	ta	9.05
og	c	og
kl.	as	kl.
9.55	ta	9.55
leikfimi	nven	leikfimi
,	,	,
handavinnustofan	nveng	handavinnustofa
opin	lvensf	opinn
,	,	,
leiðbeinandi	nken	leiðbeinandi
á	aþ	á
staðnum	nkeþg	staður
kl.	as	kl.
9.30-15	ta	9.30-15
.	.	.
Kynning	nven	kynning
á	aþ	á
starfsemi	nveþ	starfsemi
í	aþ	í
félagsheimilinu	nheþg	félagsheimili
Gjábakka	nkeþ-s	Gjábakki
sept.	as	sept.
til	ae	til
des.	as	des.
í	ao	í
dag	nkeo	dagur
.	.	.
kl.	as	kl.
14	ta	14
.	.	.
FEBK	as	FEBK
,	,	,
Hana-nú	nxen-s	hananú
og	c	og
ýmsir	fokfn	ýmis
áhugamannahópar	nkfn	áhugamannahópur
kynna	sfg3fn	kynna
sína	feveo	sinn
starfsemi	nveo	starfsemi
,	,	,
auk	ae	auk
þess	fphee	það
sem	c	sem
skráning	nven	skráning
og	c	og
kynning	nven	kynning
á	aþ	á
fyrirhuguðum	lhfþsf	fyrirhugaður
námskeiðum	nhfþ	námskeið
fer	sfg3en	fara
þar	aa	þar
fram	aa	fram
.	.	.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Kaffi	nhen	kaffi
og	c	og
heimabakað	lhensf	heimabakaður
meðlæti	nhen	meðlæti
á	aþ	á
boðstólum	nkfþ	boðstólar
.	.	.
Gullsmári	nken	gullsmári
,	,	,
Gullsmára	nkeþ-s	Gullsmári
13	ta	13
.	.	.
Opið	lhensf	opinn
alla	fokfo	allur
virka	lkfosf	virkur
daga	nkfo	dagur
kl.	as	kl.
9-17	ta	9-17
hádegismatur	nken	hádegismatur
,	,	,
kaffi	nhen	kaffi
og	c	og
heimabakað	lhensf	heimabakaður
meðlæti	nhen	meðlæti
.	.	.
Hraunbær	nken-s	Hraunbær
105	ta	105
.	.	.
Kl.	as	kl.
9	ta	9
almenn	lvensf	almennur
handavinna	nven	handavinna
og	c	og
keramik	nhen	keramik
,	,	,
kl.	as	kl.
10	ta	10
boccia	e	boccia
,	,	,
kl.	as	kl.
11	ta	11
leikfimi	nven	leikfimi
,	,	,
kl.	as	kl.
14	ta	14
félagsvist	nven	félagsvist
.	.	.
Hvassaleiti	nheþ-s	Hvassaleiti
56-58	ta	56-58
.	.	.
Kl.	as	kl.
9	ta	9
böðun	nven	böðun
og	c	og
bútasaumur	nken	bútasaumur
,	,	,
kl.	as	kl.
10	ta	10
boccia	e	boccia
,	,	,
kl.	as	kl.
13	ta	13
handavinna	nven	handavinna
,	,	,
kl.	as	kl.
14	ta	14
félagsvist	nven	félagsvist
.	.	.
Fótaaðgerð	nven	fótaaðgerð
,	,	,
hársnyrting	nven	hársnyrting
.	.	.
Allir	fokfn	allur
velkomnir	lkfnsf	velkominn
.	.	.
Norðurbrún	nveþ-s	Norðurbrún
1	ta	1
.	.	.
Kl.	as	kl.
9-16.45	ta	9-16.45
opin	lvensf	opinn
vinnustofa	nven	vinnustofa
og	c	og
tréskurður	nken	tréskurður
,	,	,
kl.	as	kl.
13-16.45	ta	13-16.45
leir	nken	leir
,	,	,
kl.	as	kl.
10-11	ta	10-11
ganga	nven	ganga
.	.	.
Vesturgata	nven-s	Vesturgata
7	ta	7
.	.	.
Kl.	as	kl.
9	ta	9
fótaaðgerðir	nvfn	fótaaðgerð
og	c	og
hárgreiðsla	nven	hárgreiðsla
,	,	,
kl.	as	kl.
9.15-12	ta	9.15-12
aðstoð	nven	aðstoð
við	ao	við
böðun	nveo	böðun
,	,	,
kl.	as	kl.
9.15-15.30	ta	9.15-15.30
handavinna	nven	handavinna
.	.	.
Mánud.	as	Mánud.
16.	ta	16.
sept.	as	sept.
kl.	as	kl.
13-16	ta	13-16
verður	sfg3en	verða
kórinn	nkeng	kór
með	ao	með
fyrstu	lveove	fyrstur
æfingu	nveo	æfing
vetrarins	nkeeg	vetur
,	,	,
nýir	lkfnsf	nýr
félagar	nkfn	félagi
velkomnir	lkfnsf	velkominn
.	.	.
Miðvikud.	as	Miðvikud.
18.	ta	18.
sept.	as	sept.
kl.	as	kl.
13-16	ta	13-16
byjar	x	byrja
fyrsti	lkenve	fyrstur
tréskurðartími	nken	tréskurðartími
vetrarins	nkeeg	vetur
.	.	.
Mósaik	nven	mósaik
byrjar	sfg3en	byrja
í	ao	í
dag	nkeo	dagur
,	,	,
5.	ta	5.
sept.	as	sept.
,	,	,
kl.	as	kl.
13	ta	13
.	.	.
Myndmennt	nven	myndmennt
byrjar	sfg3en	byrja
Miðvikud.	as	Miðvikud.
4.	ta	4.
sept.	as	sept.
Mósaik	nxen	mósaík
byrjar	sfg3en	byrja
fimmtud.	as	fimmtud.
5.	ta	5.
sept.	as	sept.
kl.	as	kl.
13	ta	13
.	.	.
Miðvikud.	as	Miðvikud.
18.	ta	18.
sept.	as	sept.
kl.	as	kl.
13-16	ta	13-16
byjar	x	byrja
fyrsti	lkenve	fyrstur
tréskurðartíminn	nkeng	tréskurðartími
.	.	.
Handverkssýning	nven	handverkssýning
og	c	og
skoðunarferð	nven	skoðunarferð
um	ao	um
Grafarvog	nkeo-s	Grafarvogur
:	:	:
Mánud.	as	Mánud.
9.	ta	9.
sept.	as	sept.
kl.	as	kl.
13	ta	13
verður	sfg3en	verða
farið	sþghen	fara
á	ao	á
handverkssýningu	nveo	handverkssýning
í	ao	í
félags	x	félag
og	c	og
þjónustumiðstöðina	nveog	þjónustumiðstöð
í	aþ	í
Hvassaleiti	nheþ-s	Hvassaleiti
.	.	.
Kaffiveitingar	nvfn	kaffiveitingar
að	aþ	að
lokinni	lveþsf	lokinn
sýningu	nveþ	sýning
.	.	.
Síðan	aa	síðan
verður	sfg3en	verða
farið	sþghen	fara
í	ao	í
skoðunarferð	nveo	skoðunarferð
um	ao	um
Grafarvog	nkeo-s	Grafarvogur
undir	aþ	undir
leiðsögn	nveþ	leiðsögn
Önnu	nvee-s	Anna
Lísu	nvee-s	Lísa
Guðmundsdóttur	nvee-s	Guðmundsdóttir
frá	aþ	frá
Árbæjarsafni	nheþ-s	Árbæjarsafn
.	.	.
M.a.	as	M.a.
farið	sþghen	fara
í	ao	í
Grafarvogskirkju	nveo-s	Grafarvogskirkja
Bryggjuhverfi	nheo-s	bryggjuhverfi
og	c	og
fleira	lheovm	margur
.	.	.
Upplýsingar	nvfn	upplýsing
og	c	og
skráning	nven	skráning
í	ao	í
ferðir	nvfo	ferð
og	c	og
á	ao	á
námskeið	nheo	námskeið
s.	as	s.
5627077	ta	5627077
.	.	.
Vitatorg	nhen-s	Vitatorg
.	.	.
Kl.	as	kl.
8.45	ta	8.45
smíði	nven	smíði
.	.	.
kl.	as	kl.
9	ta	9
hárgreiðsla	nven	hárgreiðsla
,	,	,
kl.	as	kl.
9.30	ta	9.30
glerskurður	nken	glerskurður
,	,	,
körfugerð	nven	körfugerð
og	c	og
morgunstund	nven	morgunstund
,	,	,
kl.	as	kl.
10	ta	10
fótaaðgerðir	nvfn	fótaaðgerð
og	c	og
boccia	e	boccia
æfing	nven	æfing
,	,	,
kl.	as	kl.
13	ta	13
handmennt	nven	handmennt
almennt	lhensf	almennur
og	c	og
frjáls	lhfnsf	frjáls
spil	nhfn	spil
.	.	.
Gullsmárabrids	nhen-s	gullsmárabrids
.	.	.
Eldri	lkfnvm	gamall
borgarar	nkfn	borgari
spila	sfg3fn	spila
brids	nheo	brids
í	aþ	í
Gullsmára	nkeþ-s	Gullsmári
13	ta	13
mánudaga	nkfo	mánudagur
og	c	og
fimmtudaga	nkfo	fimmtudagur
.	.	.
Vinsamlegast	aae	vinsamlega
mætið	sbg2fn	mæta
til	ae	til
skráningar	nvee	skráning
kl.	as	kl.
12.45	ta	12.45
spil	nhen	spil
hefst	sfm3en	hefja
stundvíslega	aa	stundvíslega
kl.	as	kl.
13	ta	13
.	.	.
Nýir	lkfnsf	nýr
þátttakendur	nkfn	þátttakandi
velkomnir	lkfnsf	velkominn
.	.	.
Gigtarfélagið	nhengs	gigtarfélag
.	.	.
Hópþjálfun	nven	hópþjálfun
Gigtarfélagsins	nheegs	gigtarfélag
fer	sfg3en	fara
af	aþ	af
stað	nkeþ	staður
aftur	aa	aftur
eftir	ao	eftir
sumarfrí	nheo	sumarfrí
Mánud.	as	Mánud.
9.	ta	9.
sept.	as	sept.
Hádegisleikfimi	nven	hádegisleikfimi
,	,	,
létt	lvensf	léttur
leikfimi	nven	leikfimi
,	,	,
bakleikfimi	nven	bakleikfimi
karla	nkfe	karl
,	,	,
vefjagigtarhópar	nkfn	vefjagigtarhópur
,	,	,
jóga	nhen	jóga
,	,	,
vatnsþjálfun	nven	vatnsþjálfun
.	.	.
Ókeypis	lkensf	ókeypis
prufutími	nken	prufutími
fyrir	ao	fyrir
þá	fakfo	sá
sem	ct	sem
vilja	sfg3fn	vilja
.	.	.
Skráning	nven	skráning
og	c	og
uppl.	as	uppl.
á	aþ	á
skrifstofu	nveþ	skrifstofa
GÍ	as	GÍ
,	,	,
s.	as	s.
5303600	ta	5303600
.	.	.
Minningarkort	nhfn	minningarkort
Hrafnkelssjóður	nken-s	Hrafnkelssjóður
(	(	(
stofnað	lhensf	stofnaður
1931	ta	1931
)	)	)
minningarkort	nhfn	minningarkort
afgreidd	sþghfn	afgreiða
í	aþ	í
símum	nkfþ	sími
863-6611	ta	863-6611
og	c	og
565-6611	ta	565-6611
.	.	.
(	(	(
Jóh.	as	Jóh.
15	ta	15
,	,	,
9.	ta	9.
)	)	)
Skipin	nhfng	skip
Reykjavíkurhöfn	nven-s	Reykjavíkurhöfn
:	:	:
Thetis	e	Thetis
Freri	e	Freri
og	c	og
Atlantic	e	Atlantic
Peace	e	Peace
koma	sfg3fn	koma
í	ao	í
dag	nkeo	dagur
.	.	.
Mannamót	nhfn	mannamót
Bólstaðarhlíð	nveþ-s	Bólstaðarhlíð
43	ta	43
.	.	.
Þriðjudaginn	nkeog	þriðjudagur
17.	ta	17.
september	nkeo	september
kl.	as	kl.
12.30	ta	12.30
.	.	.
Haustlitaferð	nven	haustlitaferð
í	ao	í
Skorradalinn	nkeogs	Skorradalur
.	.	.
Ullarselið	nhengs	Ullarselið
á	aþ	á
Hvanneyri	nveþ-s	Hvanneyri
heimsótt	sþghen	heimsækja
.	.	.
Kaffiveitingar	nvfn	kaffiveitingar
á	aþ	á
